dataset,row_index,column,value,issue
附件2_Sheet1,97,表面位移_mm,0.0,非起始位置零值
附件2_Sheet1,152,表面位移_mm,0.0,非起始位置零值
附件2_Sheet1,261,表面位移_mm,0.0,非起始位置零值
附件2_Sheet1,378,表面位移_mm,0.0,非起始位置零值
附件2_Sheet1,447,表面位移_mm,0.0,非起始位置零值
附件2_Sheet1,481,表面位移_mm,0.0,非起始位置零值
附件2_Sheet1,104,表面位移_mm,4.417,局部差分突变候选
附件2_Sheet1,105,表面位移_mm,0.719,局部差分突变候选
附件2_Sheet1,447,表面位移_mm,0.0,局部差分突变候选
附件2_Sheet1,540,表面位移_mm,6.634,局部差分突变候选
附件2_Sheet1,541,表面位移_mm,3.196,局部差分突变候选
附件2_Sheet1,783,表面位移_mm,7.305,局部差分突变候选
附件2_Sheet1,784,表面位移_mm,5.49,局部差分突变候选
附件2_Sheet1,1014,表面位移_mm,8.056,局部差分突变候选
附件2_Sheet1,1227,表面位移_mm,10.996,局部差分突变候选
附件2_Sheet1,1377,表面位移_mm,17.107,局部差分突变候选
附件2_Sheet1,1378,表面位移_mm,13.264,局部差分突变候选
附件2_Sheet1,1675,表面位移_mm,18.814,局部差分突变候选
附件2_Sheet1,1845,表面位移_mm,22.372,局部差分突变候选
附件2_Sheet1,2772,表面位移_mm,46.29,局部差分突变候选
附件2_Sheet1,3917,表面位移_mm,84.958,局部差分突变候选
附件2_Sheet1,3918,表面位移_mm,87.575,局部差分突变候选
附件2_Sheet1,4274,表面位移_mm,105.72,局部差分突变候选
附件2_Sheet1,4536,表面位移_mm,116.265,局部差分突变候选
附件2_Sheet1,4561,表面位移_mm,116.948,局部差分突变候选
附件2_Sheet1,4652,表面位移_mm,124.539,局部差分突变候选
附件2_Sheet1,4942,表面位移_mm,132.57,局部差分突变候选
附件2_Sheet1,5077,表面位移_mm,143.642,局部差分突变候选
附件2_Sheet1,5185,表面位移_mm,149.697,局部差分突变候选
附件2_Sheet1,5481,表面位移_mm,166.455,局部差分突变候选
附件2_Sheet1,6160,表面位移_mm,206.079,局部差分突变候选
附件2_Sheet1,6161,表面位移_mm,208.801,局部差分突变候选
附件2_Sheet1,6327,表面位移_mm,219.865,局部差分突变候选
附件2_Sheet1,6383,表面位移_mm,226.133,局部差分突变候选
附件2_Sheet1,6384,表面位移_mm,223.843,局部差分突变候选
附件2_Sheet1,6725,表面位移_mm,243.718,局部差分突变候选
附件2_Sheet1,6726,表面位移_mm,247.569,局部差分突变候选
附件2_Sheet1,6744,表面位移_mm,246.514,局部差分突变候选
附件2_Sheet1,6745,表面位移_mm,248.733,局部差分突变候选
附件2_Sheet1,7571,表面位移_mm,311.183,局部差分突变候选
附件2_Sheet1,7630,表面位移_mm,317.172,局部差分突变候选
附件2_Sheet1,7747,表面位移_mm,320.598,局部差分突变候选
附件2_Sheet1,7748,表面位移_mm,322.957,局部差分突变候选
附件2_Sheet1,7893,表面位移_mm,334.117,局部差分突变候选
附件2_Sheet1,8143,表面位移_mm,355.465,局部差分突变候选
附件2_Sheet1,8148,表面位移_mm,354.984,局部差分突变候选
附件2_Sheet1,8149,表面位移_mm,359.231,局部差分突变候选
附件2_Sheet1,8156,表面位移_mm,357.467,局部差分突变候选
附件2_Sheet1,8277,表面位移_mm,375.653,局部差分突变候选
附件2_Sheet1,8278,表面位移_mm,378.339,局部差分突变候选
附件2_Sheet1,8536,表面位移_mm,426.914,局部差分突变候选
附件2_Sheet1,8829,表面位移_mm,512.878,局部差分突变候选
附件2_Sheet1,8942,表面位移_mm,548.706,局部差分突变候选
附件2_Sheet1,9240,表面位移_mm,662.321,局部差分突变候选
附件2_Sheet1,9573,表面位移_mm,828.873,局部差分突变候选
附件2_Sheet1,9574,表面位移_mm,832.719,局部差分突变候选
附件2_Sheet1,105,原始速度_表面位移_mm_mm_h,-22.188000000000002,局部差分突变候选
附件2_Sheet1,106,原始速度_表面位移_mm_mm_h,-0.3959999999999997,局部差分突变候选
附件2_Sheet1,269,原始速度_表面位移_mm_mm_h,-16.746000000000002,局部差分突变候选
附件2_Sheet1,541,原始速度_表面位移_mm_mm_h,-20.628000000000004,局部差分突变候选
附件2_Sheet1,661,原始速度_表面位移_mm_mm_h,-12.023999999999997,局部差分突变候选
附件2_Sheet1,1298,原始速度_表面位移_mm_mm_h,-17.604000000000006,局部差分突变候选
附件2_Sheet1,1378,原始速度_表面位移_mm_mm_h,-23.058,局部差分突变候选
附件2_Sheet1,1399,原始速度_表面位移_mm_mm_h,-20.39999999999999,局部差分突变候选
附件2_Sheet1,1675,原始速度_表面位移_mm_mm_h,16.05599999999999,局部差分突变候选
附件2_Sheet1,1930,原始速度_表面位移_mm_mm_h,20.56200000000002,局部差分突变候选
附件2_Sheet1,1931,原始速度_表面位移_mm_mm_h,-0.006000000000007333,局部差分突变候选
附件2_Sheet1,1937,原始速度_表面位移_mm_mm_h,12.46200000000001,局部差分突变候选
附件2_Sheet1,1938,原始速度_表面位移_mm_mm_h,-11.706000000000003,局部差分突变候选
附件2_Sheet1,1939,原始速度_表面位移_mm_mm_h,-0.43199999999999505,局部差分突变候选
附件2_Sheet1,2092,原始速度_表面位移_mm_mm_h,0.34199999999999164,局部差分突变候选
附件2_Sheet1,2492,原始速度_表面位移_mm_mm_h,12.49799999999999,局部差分突变候选
附件2_Sheet1,2506,原始速度_表面位移_mm_mm_h,-12.533999999999992,局部差分突变候选
附件2_Sheet1,2593,原始速度_表面位移_mm_mm_h,0.0840000000000174,局部差分突变候选
附件2_Sheet1,3092,原始速度_表面位移_mm_mm_h,-14.789999999999978,局部差分突变候选
附件2_Sheet1,3418,原始速度_表面位移_mm_mm_h,1.3620000000000232,局部差分突变候选
附件2_Sheet1,3918,原始速度_表面位移_mm_mm_h,15.702000000000027,局部差分突变候选
附件2_Sheet1,3983,原始速度_表面位移_mm_mm_h,18.10799999999992,局部差分突变候选
附件2_Sheet1,4274,原始速度_表面位移_mm_mm_h,14.051999999999992,局部差分突变候选
附件2_Sheet1,4275,原始速度_表面位移_mm_mm_h,-13.97999999999999,局部差分突变候选
附件2_Sheet1,4276,原始速度_表面位移_mm_mm_h,-0.5819999999999652,局部差分突变候选
附件2_Sheet1,4345,原始速度_表面位移_mm_mm_h,7.889999999999986,局部差分突变候选
附件2_Sheet1,4975,原始速度_表面位移_mm_mm_h,-13.793999999999869,局部差分突变候选
附件2_Sheet1,5383,原始速度_表面位移_mm_mm_h,17.771999999999935,局部差分突变候选
附件2_Sheet1,6161,原始速度_表面位移_mm_mm_h,16.33199999999988,局部差分突变候选
附件2_Sheet1,6688,原始速度_表面位移_mm_mm_h,8.934000000000026,局部差分突变候选
附件2_Sheet1,6701,原始速度_表面位移_mm_mm_h,23.154000000000053,局部差分突变候选
附件2_Sheet1,6725,原始速度_表面位移_mm_mm_h,-21.858000000000004,局部差分突变候选
附件2_Sheet1,6726,原始速度_表面位移_mm_mm_h,23.105999999999995,局部差分突变候选
附件2_Sheet1,6727,原始速度_表面位移_mm_mm_h,0.5040000000000191,局部差分突变候选
附件2_Sheet1,6745,原始速度_表面位移_mm_mm_h,13.313999999999965,局部差分突变候选
附件2_Sheet1,6746,原始速度_表面位移_mm_mm_h,1.1219999999999004,局部差分突变候选
附件2_Sheet1,6767,原始速度_表面位移_mm_mm_h,19.08000000000004,局部差分突变候选
附件2_Sheet1,6848,原始速度_表面位移_mm_mm_h,-0.4559999999997899,局部差分突变候选
附件2_Sheet1,6962,原始速度_表面位移_mm_mm_h,12.67200000000014,局部差分突变候选
附件2_Sheet1,7470,原始速度_表面位移_mm_mm_h,15.648000000000025,局部差分突变候选
附件2_Sheet1,7748,原始速度_表面位移_mm_mm_h,14.153999999999883,局部差分突变候选
附件2_Sheet1,8277,原始速度_表面位移_mm_mm_h,-13.835999999999899,局部差分突变候选
附件2_Sheet1,8374,原始速度_表面位移_mm_mm_h,9.450000000000273,局部差分突变候选
附件2_Sheet1,8586,原始速度_表面位移_mm_mm_h,-15.635999999999967,局部差分突变候选
附件2_Sheet1,8728,原始速度_表面位移_mm_mm_h,21.58199999999988,局部差分突变候选
附件2_Sheet1,8942,原始速度_表面位移_mm_mm_h,20.118000000000393,局部差分突变候选
附件2_Sheet1,8973,原始速度_表面位移_mm_mm_h,20.41800000000012,局部差分突变候选
附件2_Sheet1,8989,原始速度_表面位移_mm_mm_h,-20.736000000000104,局部差分突变候选
附件2_Sheet1,8990,原始速度_表面位移_mm_mm_h,24.983999999999924,局部差分突变候选
附件2_Sheet1,9574,原始速度_表面位移_mm_mm_h,23.076000000000022,局部差分突变候选
