dataset,row_index,column,issue,value
附件3_训练集,9,a_降雨量_mm,缺失,
附件3_训练集,31,a_降雨量_mm,缺失,
附件3_训练集,40,a_降雨量_mm,缺失,
附件3_训练集,58,a_降雨量_mm,缺失,
附件3_训练集,88,a_降雨量_mm,缺失,
附件3_训练集,93,a_降雨量_mm,缺失,
附件3_训练集,144,a_降雨量_mm,缺失,
附件3_训练集,150,a_降雨量_mm,缺失,
附件3_训练集,161,a_降雨量_mm,缺失,
附件3_训练集,162,a_降雨量_mm,缺失,
附件3_训练集,192,a_降雨量_mm,缺失,
附件3_训练集,225,a_降雨量_mm,缺失,
附件3_训练集,226,a_降雨量_mm,缺失,
附件3_训练集,265,a_降雨量_mm,缺失,
附件3_训练集,269,a_降雨量_mm,缺失,
附件3_训练集,278,a_降雨量_mm,缺失,
附件3_训练集,279,a_降雨量_mm,缺失,
附件3_训练集,282,a_降雨量_mm,缺失,
附件3_训练集,288,a_降雨量_mm,缺失,
附件3_训练集,293,a_降雨量_mm,缺失,
附件3_训练集,297,a_降雨量_mm,缺失,
附件3_训练集,315,a_降雨量_mm,缺失,
附件3_训练集,321,a_降雨量_mm,缺失,
附件3_训练集,365,a_降雨量_mm,缺失,
附件3_训练集,366,a_降雨量_mm,缺失,
附件3_训练集,405,a_降雨量_mm,缺失,
附件3_训练集,412,a_降雨量_mm,缺失,
附件3_训练集,423,a_降雨量_mm,缺失,
附件3_训练集,426,a_降雨量_mm,缺失,
附件3_训练集,432,a_降雨量_mm,缺失,
附件3_训练集,471,a_降雨量_mm,缺失,
附件3_训练集,475,a_降雨量_mm,缺失,
附件3_训练集,488,a_降雨量_mm,缺失,
附件3_训练集,492,a_降雨量_mm,缺失,
附件3_训练集,512,a_降雨量_mm,缺失,
附件3_训练集,521,a_降雨量_mm,缺失,
附件3_训练集,529,a_降雨量_mm,缺失,
附件3_训练集,547,a_降雨量_mm,缺失,
附件3_训练集,580,a_降雨量_mm,缺失,
附件3_训练集,634,a_降雨量_mm,缺失,
附件3_训练集,637,a_降雨量_mm,缺失,
附件3_训练集,671,a_降雨量_mm,缺失,
附件3_训练集,772,a_降雨量_mm,缺失,
附件3_训练集,802,a_降雨量_mm,缺失,
附件3_训练集,803,a_降雨量_mm,缺失,
附件3_训练集,838,a_降雨量_mm,缺失,
附件3_训练集,863,a_降雨量_mm,缺失,
附件3_训练集,885,a_降雨量_mm,缺失,
附件3_训练集,890,a_降雨量_mm,缺失,
附件3_训练集,919,a_降雨量_mm,缺失,
附件3_训练集,932,a_降雨量_mm,缺失,
附件3_训练集,954,a_降雨量_mm,缺失,
附件3_训练集,961,a_降雨量_mm,缺失,
附件3_训练集,964,a_降雨量_mm,缺失,
附件3_训练集,1019,a_降雨量_mm,缺失,
附件3_训练集,1076,a_降雨量_mm,缺失,
附件3_训练集,1080,a_降雨量_mm,缺失,
附件3_训练集,1098,a_降雨量_mm,缺失,
附件3_训练集,1165,a_降雨量_mm,缺失,
附件3_训练集,1234,a_降雨量_mm,缺失,
附件3_训练集,1261,a_降雨量_mm,缺失,
附件3_训练集,1277,a_降雨量_mm,缺失,
附件3_训练集,1320,a_降雨量_mm,缺失,
附件3_训练集,1322,a_降雨量_mm,缺失,
附件3_训练集,1326,a_降雨量_mm,缺失,
附件3_训练集,1342,a_降雨量_mm,缺失,
