dataset,column,rows,dtype,missing,non_null,min,max,zero_count,negative_count
附件1_Sheet1,时间,10000,object,0,10000,,,,
附件1_Sheet1,数据A_光纤位移计数据_mm,10000,float64,0,10000,0.0,395.053,20.0,0.0
附件1_Sheet1,数据B_振弦式位移计数据_mm,10000,float64,0,10000,0.0,339.544,4.0,0.0
附件1_Sheet1,时间解析,10000,datetime64[ns],0,10000,,,,
附件1_Sheet1,A减B差值_mm,10000,float64,0,10000,-8.174,56.46300000000002,4.0,141.0
附件1_Sheet1,A相对B偏差,10000,float64,4,9996,-1.0,1.662971839424805,0.0,141.0
附件1_Sheet1,可疑零值标记_数据A_光纤位移计数据_mm,10000,int32,0,10000,0.0,1.0,9981.0,0.0
附件1_Sheet1,可疑零值标记_数据B_振弦式位移计数据_mm,10000,int32,0,10000,0.0,1.0,9997.0,0.0
附件1_Sheet1,突变候选标记_数据A_光纤位移计数据_mm,10000,int32,0,10000,0.0,1.0,9950.0,0.0
附件1_Sheet1,突变候选标记_数据B_振弦式位移计数据_mm,10000,int32,0,10000,0.0,1.0,9950.0,0.0
附件2_Sheet1,编号,10000,int64,0,10000,1.0,10000.0,0.0,0.0
附件2_Sheet1,表面位移_mm,10000,float64,0,10000,0.0,1304.153,6.0,0.0
附件2_Sheet1,推算时间,10000,datetime64[ns],0,10000,,,,
附件2_Sheet1,原始增量_表面位移_mm,10000,float64,1,9999,-4.2039999999999935,4.780999999999949,23.0,3199.0
附件2_Sheet1,原始速度_表面位移_mm_mm_h,10000,float64,1,9999,-25.22399999999996,28.685999999999694,23.0,3199.0
附件2_Sheet1,原始加速度_表面位移_mm_mm_h2,10000,float64,2,9998,-289.04399999999987,300.52799999999945,10.0,5051.0
附件2_Sheet1,可疑零值标记_表面位移_mm,10000,int32,0,10000,0.0,1.0,9994.0,0.0
附件2_Sheet1,突变候选标记_表面位移_mm,10000,int32,0,10000,0.0,1.0,9950.0,0.0
附件2_Sheet1,突变候选标记_原始速度_表面位移_mm_mm_h,10000,int32,0,10000,0.0,1.0,9950.0,0.0
附件3_训练集,编号,10000,int64,0,10000,1.0,10000.0,0.0,0.0
附件3_训练集,a_降雨量_mm,10000,float64,510,9490,0.0,37.2,4061.0,0.0
附件3_训练集,b_孔隙水压力_kPa,10000,float64,475,9525,46.24,120.78,0.0,0.0
附件3_训练集,c_微震事件数,10000,float64,510,9490,0.0,9.0,2631.0,0.0
附件3_训练集,d_深部位移_mm,10000,float64,456,9544,13.654759579787,60.277,0.0,0.0
附件3_训练集,e_表面位移_mm,10000,float64,559,9441,62.243,193.11,0.0,0.0
附件3_训练集,缺失标记_a_降雨量_mm,10000,int32,0,10000,0.0,1.0,9490.0,0.0
附件3_训练集,缺失标记_b_孔隙水压力_kPa,10000,int32,0,10000,0.0,1.0,9525.0,0.0
附件3_训练集,缺失标记_c_微震事件数,10000,int32,0,10000,0.0,1.0,9490.0,0.0
附件3_训练集,缺失标记_d_深部位移_mm,10000,int32,0,10000,0.0,1.0,9544.0,0.0
附件3_训练集,缺失标记_e_表面位移_mm,10000,int32,0,10000,0.0,1.0,9441.0,0.0
附件3_训练集,突变候选标记_b_孔隙水压力_kPa,10000,int32,0,10000,0.0,1.0,9954.0,0.0
附件3_训练集,突变候选标记_d_深部位移_mm,10000,int32,0,10000,0.0,1.0,9954.0,0.0
附件3_训练集,突变候选标记_e_表面位移_mm,10000,int32,0,10000,0.0,1.0,9955.0,0.0
附件3_实验集,编号,5000,int64,0,5000,1.0,5000.0,0.0,0.0
附件3_实验集,a_降雨量_mm,5000,float64,238,4762,0.0,30.7,2051.0,0.0
附件3_实验集,b_孔隙水压力_kPa,5000,float64,268,4732,40.59,118.79,0.0,0.0
附件3_实验集,c_微震事件数,5000,float64,242,4758,0.0,7.0,1255.0,0.0
附件3_实验集,d_深部位移_mm,5000,float64,258,4742,14.591,55.255,0.0,0.0
附件3_实验集,e_表面位移_mm,5000,float64,5000,0,,,0.0,0.0
附件3_实验集,缺失标记_a_降雨量_mm,5000,int32,0,5000,0.0,1.0,4762.0,0.0
附件3_实验集,缺失标记_b_孔隙水压力_kPa,5000,int32,0,5000,0.0,1.0,4732.0,0.0
附件3_实验集,缺失标记_c_微震事件数,5000,int32,0,5000,0.0,1.0,4758.0,0.0
附件3_实验集,缺失标记_d_深部位移_mm,5000,int32,0,5000,0.0,1.0,4742.0,0.0
附件3_实验集,缺失标记_e_表面位移_mm,5000,int32,0,5000,1.0,1.0,0.0,0.0
附件3_实验集,突变候选标记_b_孔隙水压力_kPa,5000,int32,0,5000,0.0,1.0,4977.0,0.0
附件3_实验集,突变候选标记_d_深部位移_mm,5000,int32,0,5000,0.0,1.0,4977.0,0.0
附件4_训练集,时间,10000,object,0,10000,,,,
附件4_训练集,表面位移_mm,10000,float64,0,10000,0.195,654.69,0.0,0.0
附件4_训练集,降雨量_mm,10000,float64,0,10000,0.0,32.5,9797.0,0.0
附件4_训练集,孔隙水压力_kPa,10000,float64,0,10000,7.6,59.78,0.0,0.0
附件4_训练集,微震事件数,10000,int64,0,10000,0.0,12.0,4749.0,0.0
附件4_训练集,爆破点距离_m,10000,float64,9959,41,0.56,5.98,0.0,0.0
附件4_训练集,单段最大药量_kg,10000,float64,9959,41,0.86,11.65,0.0,0.0
附件4_训练集,时间解析,10000,datetime64[ns],0,10000,,,,
附件4_训练集,是否爆破,10000,int32,0,10000,0.0,1.0,9959.0,0.0
附件4_训练集,爆破字段冲突标记,10000,int32,0,10000,0.0,0.0,10000.0,0.0
附件4_训练集,原始增量_表面位移_mm,10000,float64,1,9999,-10.980999999999995,11.575999999999993,27.0,4494.0
附件4_训练集,原始速度_表面位移_mm_mm_h,10000,float64,1,9999,-65.88599999999997,69.45599999999996,27.0,4494.0
附件4_训练集,原始加速度_表面位移_mm_mm_h2,10000,float64,2,9998,-812.0519999999996,429.29999999999967,4.0,5011.0
附件4_训练集,突变候选标记_表面位移_mm,10000,int32,0,10000,0.0,1.0,9950.0,0.0
附件4_训练集,突变候选标记_孔隙水压力_kPa,10000,int32,0,10000,0.0,1.0,9950.0,0.0
附件4_实验集,时间,5000,object,0,5000,,,,
附件4_实验集,阶段标签,5000,int64,0,5000,1.0,3.0,0.0,0.0
附件4_实验集,表面位移_mm,5000,float64,5000,0,,,0.0,0.0
附件4_实验集,降雨量_mm,5000,float64,0,5000,0.0,17.8,4902.0,0.0
附件4_实验集,孔隙水压力_kPa,5000,float64,0,5000,12.77,69.08,0.0,0.0
附件4_实验集,微震事件数,5000,int64,0,5000,0.0,9.0,2297.0,0.0
附件4_实验集,爆破点距离_m,5000,float64,4976,24,0.66,5.55,0.0,0.0
附件4_实验集,单段最大药量_kg,5000,float64,4976,24,1.03,11.78,0.0,0.0
附件4_实验集,时间解析,5000,datetime64[ns],0,5000,,,,
附件4_实验集,是否爆破,5000,int32,0,5000,0.0,1.0,4976.0,0.0
附件4_实验集,爆破字段冲突标记,5000,int32,0,5000,0.0,0.0,5000.0,0.0
附件4_实验集,原始增量_表面位移_mm,5000,float64,5000,0,,,0.0,0.0
附件4_实验集,原始速度_表面位移_mm_mm_h,5000,float64,5000,0,,,0.0,0.0
附件4_实验集,原始加速度_表面位移_mm_mm_h2,5000,float64,5000,0,,,0.0,0.0
附件5_Sheet1,时间,9450,object,0,9450,,,,
附件5_Sheet1,表面位移_mm,9450,float64,0,9450,0.0,3557.771,2.0,0.0
附件5_Sheet1,降雨量_mm,9450,float64,0,9450,0.0,20.1,9284.0,0.0
附件5_Sheet1,孔隙水压力_kPa,9450,float64,0,9450,10.87,64.42,0.0,0.0
附件5_Sheet1,微震事件数,9450,int64,0,9450,0.0,27.0,1817.0,0.0
附件5_Sheet1,干湿入渗系数,9450,float64,0,9450,0.369,0.8438,0.0,0.0
附件5_Sheet1,爆破点距离_m,9450,float64,9403,47,0.62,5.83,0.0,0.0
附件5_Sheet1,单段最大药量_kg,9450,float64,9403,47,0.96,11.93,0.0,0.0
附件5_Sheet1,时间解析,9450,datetime64[ns],0,9450,,,,
附件5_Sheet1,是否爆破,9450,int32,0,9450,0.0,1.0,9403.0,0.0
附件5_Sheet1,爆破字段冲突标记,9450,int32,0,9450,0.0,0.0,9450.0,0.0
附件5_Sheet1,原始增量_表面位移_mm,9450,float64,1,9449,-29.05099999999993,32.61900000000014,7.0,2605.0
附件5_Sheet1,原始速度_表面位移_mm_mm_h,9450,float64,1,9449,-174.30599999999959,195.71400000000085,7.0,2605.0
附件5_Sheet1,原始加速度_表面位移_mm_mm_h2,9450,float64,2,9448,-2220.1200000000026,1117.2960000000185,5.0,4703.0
附件5_Sheet1,可疑零值标记_表面位移_mm,9450,int32,0,9450,0.0,1.0,9448.0,0.0
附件5_Sheet1,突变候选标记_表面位移_mm,9450,int32,0,9450,0.0,1.0,9402.0,0.0
附件5_Sheet1,突变候选标记_原始速度_表面位移_mm_mm_h,9450,int32,0,9450,0.0,1.0,9402.0,0.0
附件5_Sheet1,突变候选标记_孔隙水压力_kPa,9450,int32,0,9450,0.0,1.0,9402.0,0.0
