原始数据行号,时间,数据A_光纤位移计数据_mm,数据B_振弦式位移计数据_mm,问题1_非初始零值异常标记
8,2024-01-01 11:00,0.0,0.227,True
42,2024-01-01 16:40,0.0,0.0,True
46,2024-01-01 17:20,0.0,1.937,True
56,2024-01-01 19:00,0.0,0.0,True
68,2024-01-01 21:00,0.0,0.0,True
69,2024-01-01 21:10,0.0,0.4,True
85,2024-01-01 23:50,0.0,0.864,True
92,2024-01-02 01:00,0.0,2.028,True
114,2024-01-02 04:40,0.0,2.761,True
115,2024-01-02 04:50,0.0,3.243,True
118,2024-01-02 05:20,0.0,3.681,True
127,2024-01-02 06:50,0.0,2.327,True
134,2024-01-02 08:00,0.0,3.012,True
148,2024-01-02 10:20,0.0,3.648,True
175,2024-01-02 14:50,0.0,4.528,True
186,2024-01-02 16:40,0.0,3.642,True
203,2024-01-02 19:30,0.0,4.523,True
256,2024-01-03 04:20,0.0,6.711,True
323,2024-01-03 15:30,0.0,8.174,True
