编号,推算时间,表面位移_mm,非初始零值标记,局部差分突变候选标记,局部差分突变评分,趋势识别用位移_mm,稳健趋势位移_mm,原始速度_mm_h,滚动72点速度_mm_h,滚动72点加速度_mm_h2,阶段编号,阶段名称,分阶段模型拟合位移_mm,分阶段模型残差_mm
1,2024-05-04 00:00:00,0.059,False,False,,0.059,0.276,,,,1,缓慢匀速形变阶段,-23.13139060108852,23.19039060108852
2,2024-05-04 00:10:00,0.069,False,False,0.012152986657235954,0.069,0.28,0.06000000000000005,,,1,缓慢匀速形变阶段,-23.102168472104633,23.171168472104632
3,2024-05-04 00:20:00,0.284,False,False,1.5411329562459406,0.284,0.284,1.2899999999999998,,,1,缓慢匀速形变阶段,-23.07294634312075,23.35694634312075
4,2024-05-04 00:30:00,0.296,False,False,0.07899441327203337,0.296,0.29,0.07200000000000006,,,1,缓慢匀速形变阶段,-23.043724214136866,23.339724214136865
5,2024-05-04 00:40:00,0.332,False,False,0.10538918116821824,0.332,0.284,0.2160000000000002,,,1,缓慢匀速形变阶段,-23.014502085152984,23.346502085152984
6,2024-05-04 00:50:00,0.366,False,False,0.13368285322959517,0.366,0.28,0.20399999999999985,,,1,缓慢匀速形变阶段,-22.985279956169098,23.351279956169098
7,2024-05-04 01:00:00,0.181,False,False,1.2255256210132777,0.181,0.284,-1.11,,,1,缓慢匀速形变阶段,-22.956057827185212,23.137057827185213
8,2024-05-04 01:10:00,0.332,False,False,0.8446325726778982,0.332,0.29,0.9060000000000001,,,1,缓慢匀速形变阶段,-22.92683569820133,23.25883569820133
9,2024-05-04 01:20:00,0.334,False,False,0.05420015031508359,0.334,0.284,0.01200000000000001,,,1,缓慢匀速形变阶段,-22.897613569217445,23.231613569217444
10,2024-05-04 01:30:00,0.395,False,False,0.2924782939323288,0.395,0.29,0.366,,,1,缓慢匀速形变阶段,-22.868391440233562,23.263391440233562
11,2024-05-04 01:40:00,0.405,False,False,0.006022238923898176,0.405,0.296,0.06000000000000005,,,1,缓慢匀速形变阶段,-22.839169311249677,23.244169311249678
12,2024-05-04 01:50:00,0.209,False,False,1.241540513018866,0.209,0.2985,-1.1760000000000004,,,1,缓慢匀速形变阶段,-22.80994718226579,23.01894718226579
13,2024-05-04 02:00:00,0.244,False,False,0.13603174981040578,0.244,0.296,0.21000000000000002,,,1,缓慢匀速形变阶段,-22.78072505328191,23.02472505328191
14,2024-05-04 02:10:00,0.274,False,False,0.09712666936462984,0.274,0.2985,0.18000000000000016,,,1,缓慢匀速形变阶段,-22.751502924298023,23.025502924298024
15,2024-05-04 02:20:00,0.174,False,False,0.629146842873127,0.174,0.301,-0.6000000000000002,,,1,缓慢匀速形变阶段,-22.72228079531414,22.89628079531414
16,2024-05-04 02:30:00,0.371,False,False,1.104254783213895,0.371,0.313,1.1820000000000002,,,1,缓慢匀速形变阶段,-22.693058666330256,23.064058666330254
17,2024-05-04 02:40:00,0.242,False,False,0.7935185405607006,0.242,0.301,-0.774,,,1,缓慢匀速形变阶段,-22.66383653734637,22.90583653734637
18,2024-05-04 02:50:00,0.383,False,False,0.7750727148371401,0.383,0.2985,0.8460000000000001,,,1,缓慢匀速形变阶段,-22.634614408362488,23.017614408362487
19,2024-05-04 03:00:00,0.42,False,False,0.14675112758486578,0.42,0.301,0.22199999999999986,,,1,缓慢匀速形变阶段,-22.605392279378602,23.025392279378604
20,2024-05-04 03:10:00,0.244,False,False,1.1123180945754378,0.244,0.313,-1.056,,,1,缓慢匀速形变阶段,-22.57617015039472,22.82017015039472
21,2024-05-04 03:20:00,0.101,False,False,0.8692182172334367,0.101,0.301,-0.858,,,1,缓慢匀速形变阶段,-22.546948021410834,22.647948021410834
22,2024-05-04 03:30:00,0.276,False,False,0.908611518964339,0.276,0.309,1.0500000000000003,,,1,缓慢匀速形变阶段,-22.51772589242695,22.79372589242695
23,2024-05-04 03:40:00,0.416,False,False,0.6854580888989787,0.416,0.317,0.8399999999999997,,,1,缓慢匀速形变阶段,-22.488503763443067,22.904503763443067
24,2024-05-04 03:50:00,0.417,False,False,0.059355186833940456,0.417,0.321,0.006000000000000005,,,1,缓慢匀速形变阶段,-22.45928163445918,22.876281634459183
25,2024-05-04 04:00:00,0.276,False,False,0.8554516949459258,0.276,0.325,-0.8459999999999998,,,1,缓慢匀速形变阶段,-22.4300595054753,22.7060595054753
26,2024-05-04 04:10:00,0.301,False,False,0.03902012658129036,0.301,0.325,0.1499999999999998,,,1,缓慢匀速形变阶段,-22.400837376491413,22.70183737649141
27,2024-05-04 04:20:00,0.276,False,False,0.21934658844767319,0.276,0.325,-0.1499999999999998,,,1,缓慢匀速形变阶段,-22.371615247507528,22.647615247507527
28,2024-05-04 04:30:00,0.233,False,False,0.32915149062457877,0.233,0.3265,-0.25800000000000006,,,1,缓慢匀速形变阶段,-22.342393118523646,22.575393118523646
29,2024-05-04 04:40:00,0.123,False,False,0.6744907594765954,0.123,0.325,-0.6600000000000001,,,1,缓慢匀速形变阶段,-22.31317098953976,22.43617098953976
30,2024-05-04 04:50:00,0.35,False,False,1.1277485498448667,0.35,0.3265,1.3619999999999999,,,1,缓慢匀速形变阶段,-22.283948860555878,22.63394886055588
31,2024-05-04 05:00:00,0.252,False,False,0.6097396465668421,0.252,0.328,-0.5879999999999999,,,1,缓慢匀速形变阶段,-22.254726731571992,22.50672673157199
32,2024-05-04 05:10:00,0.325,False,False,0.3291514906245784,0.325,0.328,0.43800000000000006,,,1,缓慢匀速形变阶段,-22.225504602588106,22.550504602588106
33,2024-05-04 05:20:00,0.375,False,False,0.1726696344260082,0.375,0.328,0.29999999999999993,,,1,缓慢匀速形变阶段,-22.196282473604224,22.571282473604224
34,2024-05-04 05:30:00,3.928,False,True,19.085390530149745,3.928,0.332,21.318,,,1,缓慢匀速形变阶段,-22.16706034462034,26.09506034462034
35,2024-05-04 05:40:00,0.244,False,True,19.964926480507227,0.244,0.332,-22.104000000000003,,,1,缓慢匀速形变阶段,-22.137838215636457,22.381838215636456
36,2024-05-04 05:50:00,0.218,False,False,0.19425333872925954,0.218,0.328,-0.15599999999999997,,,1,缓慢匀速形变阶段,-22.10861608665257,22.32661608665257
37,2024-05-04 06:00:00,0.378,False,False,0.809388911371914,0.378,0.328,0.9600000000000001,,,1,缓慢匀速形变阶段,-22.079393957668685,22.457393957668685
38,2024-05-04 06:10:00,0.388,False,False,0.0,0.388,0.332,0.06000000000000005,,,1,缓慢匀速形变阶段,-22.050171828684803,22.438171828684805
39,2024-05-04 06:20:00,0.267,False,False,0.7302337974498676,0.267,0.334,-0.726,,,1,缓慢匀速形变阶段,-22.020949699700918,22.287949699700917
40,2024-05-04 06:30:00,0.425,False,False,0.7985970592202889,0.425,0.339,0.9479999999999998,,,1,缓慢匀速形变阶段,-21.991727570717035,22.416727570717036
41,2024-05-04 06:40:00,0.325,False,False,0.5935518683394037,0.325,0.339,-0.5999999999999999,,,1,缓慢匀速形变阶段,-21.96250544173315,22.28750544173315
