编号,推算时间,表面位移_mm,局部差分突变评分
34,2024-05-04 05:30:00,3.928,19.085390530149745
35,2024-05-04 05:40:00,0.244,19.964926480507227
105,2024-05-04 17:20:00,4.417,25.572835366441186
106,2024-05-04 17:30:00,0.719,23.581481695605525
206,2024-05-05 10:10:00,2.207,7.208619991906097
207,2024-05-05 10:20:00,1.061,8.311693421466774
262,2024-05-05 19:30:00,0.0,8.126316554078603
263,2024-05-05 19:40:00,1.239,8.214095387685264
269,2024-05-05 20:40:00,4.104,20.46177907956719
270,2024-05-05 20:50:00,1.313,18.029656839855164
302,2024-05-06 02:10:00,2.517,7.880529791843885
303,2024-05-06 02:20:00,1.558,7.024749505612634
361,2024-05-06 12:00:00,2.687,6.197679242737778
367,2024-05-06 13:00:00,0.419,7.753761294837782
368,2024-05-06 13:10:00,1.912,9.069491819390638
376,2024-05-06 14:30:00,4.441,15.663843441059129
377,2024-05-06 14:40:00,1.797,15.83246613092828
379,2024-05-06 15:00:00,0.0,9.930671985508074
380,2024-05-06 15:10:00,1.899,11.926509504016035
436,2024-05-07 00:30:00,3.187,6.598279168792776
437,2024-05-07 00:40:00,2.12,7.844620789564737
448,2024-05-07 02:30:00,0.0,16.96380523027703
449,2024-05-07 02:40:00,2.435,17.623790812130398
479,2024-05-07 07:40:00,6.43,28.192278659399296
480,2024-05-07 07:50:00,2.573,28.269960527627706
482,2024-05-07 08:10:00,0.0,19.10068887001299
483,2024-05-07 08:20:00,2.574,18.476741549491773
541,2024-05-07 18:00:00,6.634,20.449862078268822
542,2024-05-07 18:10:00,3.196,20.031212641352315
607,2024-05-08 05:00:00,0.243,20.157807171375186
608,2024-05-08 05:10:00,3.568,19.359068114100268
661,2024-05-08 14:00:00,6.161,16.69151183261696
662,2024-05-08 14:10:00,4.157,16.525023607176607
757,2024-05-09 06:00:00,3.517,7.905031701065753
758,2024-05-09 06:10:00,5.221,9.178470254957578
784,2024-05-09 10:30:00,7.305,11.779306623499345
785,2024-05-09 10:40:00,5.49,9.842169162282545
881,2024-05-10 02:40:00,2.793,22.170761075388153
882,2024-05-10 02:50:00,6.399,22.458044176646705
943,2024-05-10 13:00:00,4.493,15.074594291066424
944,2024-05-10 13:10:00,7.13,14.361717878611483
964,2024-05-10 16:30:00,6.098,8.930257655470072
965,2024-05-10 16:40:00,7.375,8.363685417509737
1015,2024-05-11 01:00:00,8.056,6.846081208687397
1020,2024-05-11 01:50:00,7.292,6.171590449210807
1057,2024-05-11 08:00:00,10.934,19.61513243547626
1058,2024-05-11 08:10:00,8.625,18.030863442287053
1201,2024-05-12 08:00:00,8.812,13.293995291619364
1202,2024-05-12 08:10:00,10.687,13.64546690325737
1236,2024-05-12 13:50:00,8.501,15.51328746796151
1237,2024-05-12 14:00:00,11.198,15.779533820386812
1242,2024-05-12 14:50:00,9.107,11.886420489372552
1243,2024-05-12 15:00:00,11.294,12.679242961038021
1298,2024-05-13 00:10:00,15.034,17.406594862983866
1299,2024-05-13 00:20:00,12.1,19.226260872070437
1378,2024-05-13 13:30:00,17.107,23.484541898139366
1379,2024-05-13 13:40:00,13.264,21.77641594881583
1399,2024-05-13 17:00:00,17.078,22.618360031380238
1400,2024-05-13 17:10:00,13.678,22.39571259621321
1529,2024-05-14 14:40:00,14.155,10.014838796708343
1530,2024-05-14 14:50:00,16.011,9.622032240658289
1543,2024-05-14 17:00:00,19.006,12.933483395219211
1544,2024-05-14 17:10:00,16.31,13.824524889723401
1567,2024-05-14 21:00:00,18.9,16.10602177174468
1568,2024-05-14 21:10:00,16.577,16.532049552587768
1662,2024-05-15 12:50:00,16.656,16.73802068911647
1663,2024-05-15 13:00:00,18.64,17.33263754286554
1675,2024-05-15 15:00:00,16.138,20.153190934250194
1676,2024-05-15 15:10:00,18.814,19.552820038453138
1694,2024-05-15 18:10:00,22.346,24.04448377738515
1695,2024-05-15 18:20:00,19.002,25.119221800726987
1781,2024-05-16 08:40:00,17.795,19.54860287379585
1782,2024-05-16 08:50:00,20.935,18.083329844588057
1840,2024-05-16 18:30:00,23.429,10.334438877957506
1841,2024-05-16 18:40:00,22.446,7.729509048254769
1845,2024-05-16 19:20:00,26.441,28.50799773830293
1846,2024-05-16 19:30:00,22.372,26.054614480353834
1872,2024-05-16 23:50:00,19.382,22.74987991543034
1873,2024-05-17 00:00:00,23.065,22.703730243299713
1875,2024-05-17 00:20:00,21.583,7.74736175105241
1876,2024-05-17 00:30:00,22.952,8.591877618379506
1930,2024-05-17 09:30:00,20.926,18.11640024281667
1931,2024-05-17 09:40:00,24.353,17.871390820860807
1938,2024-05-17 10:50:00,26.518,10.693272732932597
1939,2024-05-17 11:00:00,24.567,10.205564029926428
1951,2024-05-17 13:00:00,26.393,8.452212329691092
1952,2024-05-17 13:10:00,24.472,10.206942196141911
2054,2024-05-18 06:10:00,31.093,27.262916498043598
2055,2024-05-18 06:20:00,27.169,26.70308916767802
2072,2024-05-18 09:10:00,24.604,17.519316019852813
2073,2024-05-18 09:20:00,27.49,16.647129692943434
2091,2024-05-18 12:20:00,30.955,15.078615645188092
2092,2024-05-18 12:30:00,28.004,14.918736354052898
2153,2024-05-18 22:40:00,26.345,20.26913557814894
2154,2024-05-18 22:50:00,29.278,19.209761336072898
2177,2024-05-19 02:40:00,33.219,21.696119429829672
2178,2024-05-19 02:50:00,30.037,22.560310715409862
2233,2024-05-19 12:00:00,33.295,18.903260505850135
2234,2024-05-19 12:10:00,31.232,15.172415793817626
2242,2024-05-19 13:30:00,33.896,16.16132760941954
2243,2024-05-19 13:40:00,31.606,15.42732295940089
2335,2024-05-20 05:00:00,37.174,27.03085752535299
2336,2024-05-20 05:10:00,33.898,28.234695463152903
2440,2024-05-20 22:30:00,35.826,7.2527594607247385
