编号,a_降雨量_mm,b_孔隙水压力_kPa,c_微震事件数,d_深部位移_mm,e_表面位移_mm,缺失标记_a_降雨量_mm,缺失标记_b_孔隙水压力_kPa,缺失标记_c_微震事件数,缺失标记_d_深部位移_mm,缺失标记_e_表面位移_mm,突变候选标记_b_孔隙水压力_kPa,突变候选标记_d_深部位移_mm,a_原始缺失,a_补齐值,a_建模值,a_是否插补,b_原始缺失,b_补齐值,b_建模值,b_是否插补,c_原始缺失,c_补齐值,c_建模值,c_是否插补,d_原始缺失,d_补齐值,d_建模值,d_是否插补,e_原始缺失,e_补齐值,e_建模值,e_是否插补,e_表面位移估计值_mm
1,0.0,66.63,0.0,27.119,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,66.63,66.63,False,False,0.0,0.0,False,False,27.119,27.119,False,True,,,True,80.88023702642263
2,0.0,66.78,2.0,27.992,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,66.78,66.78,False,False,2.0,2.0,False,False,27.992,27.992,False,True,,,True,86.2242145755987
3,0.0,65.82,2.0,26.553,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,65.82,65.82,False,False,2.0,2.0,False,False,26.553,26.553,False,True,,,True,84.30748333227356
4,0.0,66.1,1.0,30.534,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,66.1,66.1,False,False,1.0,1.0,False,False,30.534,30.534,False,True,,,True,86.19358461895698
5,0.0,64.68,0.0,,,0,0,0,1,1,0,0,False,0.0,0.0,False,False,64.68,64.68,False,False,0.0,0.0,False,True,27.385999999999996,27.385999999999996,True,True,,,True,80.14723042677981
6,0.0,,1.0,24.238,,0,1,0,0,1,0,0,False,0.0,0.0,False,True,64.25517838792658,64.25517838792658,True,False,1.0,1.0,False,False,24.238,24.238,False,True,,,True,79.01231184872279
7,0.0,63.91,0.0,28.046,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,63.91,63.91,False,False,0.0,0.0,False,False,28.046,28.046,False,True,,,True,80.40720751958973
8,0.5,63.29,0.0,,,0,0,0,1,1,0,0,False,0.5,0.5,False,False,63.29,63.29,False,False,0.0,0.0,False,True,27.70614610559331,27.70614610559331,True,True,,,True,80.41586674172808
9,0.0,62.91,0.0,26.945,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,62.91,62.91,False,False,0.0,0.0,False,False,26.945,26.945,False,True,,,True,78.80487624474306
10,0.0,62.27,1.0,25.481,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,62.27,62.27,False,False,1.0,1.0,False,False,25.481,25.481,False,True,,,True,79.22824866603415
11,18.4,73.97,,35.179,,0,0,1,0,1,1,0,False,18.4,18.4,False,False,73.97,73.97,False,True,0.0,0.0,True,False,35.179,35.179,False,True,,,True,117.00096760420611
12,0.2,73.96,0.0,30.336,,0,0,0,0,1,0,0,False,0.2,0.2,False,False,73.96,73.96,False,False,0.0,0.0,False,False,30.336,30.336,False,True,,,True,88.08206085600338
13,0.0,71.11,1.0,30.556,,0,0,0,0,1,0,0,False,0.0,0.0,False,False,71.11,71.11,False,False,1.0,1.0,False,False,30.556,30.556,False,True,,,True,88.77825956111349
14,0.0,71.84,,29.099,,0,0,1,0,1,0,0,False,0.0,0.0,False,False,71.84,71.84,False,True,1.0,1.0,True,False,29.099,29.099,False,True,,,True,87.70821954257966
