编号,a_降雨量_mm,b_孔隙水压力_kPa,c_微震事件数,d_深部位移_mm,e_表面位移_mm,缺失标记_a_降雨量_mm,缺失标记_b_孔隙水压力_kPa,缺失标记_c_微震事件数,缺失标记_d_深部位移_mm,缺失标记_e_表面位移_mm,突变候选标记_b_孔隙水压力_kPa,突变候选标记_d_深部位移_mm,突变候选标记_e_表面位移_mm,a_原始缺失,a_补齐值,a_建模值,a_是否插补,b_原始缺失,b_补齐值,b_建模值,b_是否插补,c_原始缺失,c_补齐值,c_建模值,c_是否插补,d_原始缺失,d_补齐值,d_建模值,d_是否插补,e_原始缺失,e_补齐值,e_建模值,e_是否插补,a异常,b异常,c异常,d异常,e异常,异常变量数量,共同异常,异常变量编码
1,0.1,68.99,2.0,28.729,89.95,0,0,0,0,0,0,0,0,False,0.1,0.1,False,False,68.99,68.99,False,False,2.0,2.0,False,False,28.729,28.729,False,False,89.95,89.95,False,False,False,False,False,False,0,False,
2,0.1,84.69,2.0,33.913,101.833,0,0,0,0,0,0,0,0,False,0.1,0.1,False,False,84.69,84.69,False,False,2.0,2.0,False,False,33.913,33.913,False,False,101.833,101.833,False,False,False,False,False,False,0,False,
3,0.0,78.71,1.0,35.947,96.002,0,0,0,0,0,0,0,0,False,0.0,0.0,False,False,78.71,78.71,False,False,1.0,1.0,False,False,35.947,35.947,False,False,96.002,96.002,False,False,False,False,False,False,0,False,
4,0.0,87.47,2.0,36.166,104.74,0,0,0,0,0,0,0,0,False,0.0,0.0,False,False,87.47,87.47,False,False,2.0,2.0,False,False,36.166,36.166,False,False,104.74,104.74,False,False,False,False,False,False,0,False,
5,0.0,89.83,0.0,38.34,103.566,0,0,0,0,0,0,0,0,False,0.0,0.0,False,False,89.83,89.83,False,False,0.0,0.0,False,False,38.34,38.34,False,False,103.566,103.566,False,False,False,False,False,False,0,False,
6,0.0,88.43,1.0,34.295,102.164,0,0,0,0,0,0,0,0,False,0.0,0.0,False,False,88.43,88.43,False,False,1.0,1.0,False,False,34.295,34.295,False,False,102.164,102.164,False,False,False,False,False,False,0,False,
7,0.1,66.95,0.0,25.624,79.168,0,0,0,0,0,0,0,0,False,0.1,0.1,False,False,66.95,66.95,False,False,0.0,0.0,False,False,25.624,25.624,False,False,79.168,79.168,False,False,False,False,False,False,0,False,
8,0.0,71.34,3.0,31.552,96.567,0,0,0,0,0,0,0,0,False,0.0,0.0,False,False,71.34,71.34,False,False,3.0,3.0,False,False,31.552,31.552,False,False,96.567,96.567,False,False,False,False,False,False,0,False,
9,0.0,89.23,1.0,37.592,105.691,0,0,0,0,0,0,0,0,False,0.0,0.0,False,False,89.23,89.23,False,False,1.0,1.0,False,False,37.592,37.592,False,False,105.691,105.691,False,False,False,False,False,False,0,False,
10,,120.07,1.0,50.771,134.748,1,0,0,0,0,0,0,0,True,0.05,0.05,True,False,120.07,120.07,False,False,1.0,1.0,False,False,50.771,50.771,False,False,134.748,134.748,False,False,False,False,False,False,0,False,
11,0.0,87.82,1.0,34.778,101.321,0,0,0,0,0,0,0,0,False,0.0,0.0,False,False,87.82,87.82,False,False,1.0,1.0,False,False,34.778,34.778,False,False,101.321,101.321,False,False,False,False,False,False,0,False,
12,0.8,68.81,2.0,31.265,92.088,0,0,0,0,0,0,0,0,False,0.8,0.8,False,False,68.81,68.81,False,False,2.0,2.0,False,False,31.265,31.265,False,False,92.088,92.088,False,False,False,False,False,False,0,False,
13,0.4,89.17,1.0,39.668,108.602,0,0,0,0,0,0,0,0,False,0.4,0.4,False,False,89.17,89.17,False,False,1.0,1.0,False,False,39.668,39.668,False,False,108.602,108.602,False,False,False,False,False,False,0,False,
14,0.2,94.32,2.0,39.773,113.179,0,0,0,0,0,0,0,0,False,0.2,0.2,False,False,94.32,94.32,False,False,2.0,2.0,False,False,39.773,39.773,False,False,113.179,113.179,False,False,False,False,False,False,0,False,
15,0.2,68.99,1.0,31.826,90.481,0,0,0,0,0,0,0,0,False,0.2,0.2,False,False,68.99,68.99,False,False,1.0,1.0,False,False,31.826,31.826,False,False,90.481,90.481,False,False,False,False,False,False,0,False,
16,0.4,98.36,4.0,38.759,118.606,0,0,0,0,0,0,0,0,False,0.4,0.4,False,False,98.36,98.36,False,False,4.0,4.0,False,False,38.759,38.759,False,False,118.606,118.606,False,False,False,False,False,False,0,False,
17,0.2,82.86,,36.02,95.066,0,0,1,0,0,0,0,0,False,0.2,0.2,False,False,82.86,82.86,False,True,2.0,2.0,True,False,36.02,36.02,False,False,95.066,95.066,False,False,False,False,False,False,0,False,
18,0.0,89.48,0.0,38.682,105.283,0,0,0,0,0,0,0,0,False,0.0,0.0,False,False,89.48,89.48,False,False,0.0,0.0,False,False,38.682,38.682,False,False,105.283,105.283,False,False,False,False,False,False,0,False,
19,0.0,68.44,4.0,27.582,94.563,0,0,0,0,0,0,0,0,False,0.0,0.0,False,False,68.44,68.44,False,False,4.0,4.0,False,False,27.582,27.582,False,False,94.563,94.563,False,False,False,False,False,False,0,False,
20,0.0,79.72,1.0,,93.167,0,0,0,1,0,0,0,0,False,0.0,0.0,False,False,79.72,79.72,False,False,1.0,1.0,False,True,35.203500000000005,35.203500000000005,True,False,93.167,93.167,False,False,False,False,False,False,0,False,
21,7.0,95.1,2.0,42.825,125.842,0,0,0,0,0,0,0,0,False,7.0,7.0,False,False,95.1,95.1,False,False,2.0,2.0,False,False,42.825,42.825,False,False,125.842,125.842,False,False,False,False,False,False,0,False,
22,0.3,69.09,2.0,26.516,82.872,0,0,0,0,0,0,0,0,False,0.3,0.3,False,False,69.09,69.09,False,False,2.0,2.0,False,False,26.516,26.516,False,False,82.872,82.872,False,False,False,False,False,False,0,False,
23,0.0,87.96,3.0,33.003,104.87,0,0,0,0,0,0,0,0,False,0.0,0.0,False,False,87.96,87.96,False,False,3.0,3.0,False,False,33.003,33.003,False,False,104.87,104.87,False,False,False,False,False,False,0,False,
24,6.1,70.12,3.0,32.252,105.178,0,0,0,0,0,0,0,0,False,6.1,6.1,False,False,70.12,70.12,False,False,3.0,3.0,False,False,32.252,32.252,False,False,105.178,105.178,False,False,False,False,False,False,0,False,
25,0.3,71.77,0.0,26.812,82.468,0,0,0,0,0,0,0,0,False,0.3,0.3,False,False,71.77,71.77,False,False,0.0,0.0,False,False,26.812,26.812,False,False,82.468,82.468,False,False,False,False,False,False,0,False,
26,0.1,86.72,1.0,37.647,103.703,0,0,0,0,0,0,0,0,False,0.1,0.1,False,False,86.72,86.72,False,False,1.0,1.0,False,False,37.647,37.647,False,False,103.703,103.703,False,False,False,False,False,False,0,False,
27,0.0,83.27,1.0,34.789,97.377,0,0,0,0,0,0,0,0,False,0.0,0.0,False,False,83.27,83.27,False,False,1.0,1.0,False,False,34.789,34.789,False,False,97.377,97.377,False,False,False,False,False,False,0,False,
28,0.0,78.26,2.0,32.623,97.084,0,0,0,0,0,0,0,0,False,0.0,0.0,False,False,78.26,78.26,False,False,2.0,2.0,False,False,32.623,32.623,False,False,97.084,97.084,False,False,False,False,False,False,0,False,
29,0.2,53.46,4.0,22.642,74.226,0,0,0,0,0,0,0,0,False,0.2,0.2,False,False,53.46,53.46,False,False,4.0,4.0,False,False,22.642,22.642,False,False,74.226,74.226,False,False,False,False,False,False,0,False,
30,13.2,79.24,2.0,35.683,119.393,0,0,0,0,0,0,0,0,False,13.2,13.2,False,False,79.24,79.24,False,False,2.0,2.0,False,False,35.683,35.683,False,False,119.393,119.393,False,False,False,False,False,False,0,False,
31,0.0,75.79,0.0,,89.231,0,0,0,1,0,0,0,0,False,0.0,0.0,False,False,75.79,75.79,False,False,0.0,0.0,False,True,32.644999999999996,32.644999999999996,True,False,89.231,89.231,False,False,False,False,False,False,0,False,
32,,76.76,3.0,29.607,93.12,1,0,0,0,0,0,0,0,True,0.1,0.1,True,False,76.76,76.76,False,False,3.0,3.0,False,False,29.607,29.607,False,False,93.12,93.12,False,False,False,False,False,False,0,False,
33,0.0,86.9,1.0,39.455,102.376,0,0,0,0,0,0,0,0,False,0.0,0.0,False,False,86.9,86.9,False,False,1.0,1.0,False,False,39.455,39.455,False,False,102.376,102.376,False,False,False,False,False,False,0,False,
34,0.2,68.76,1.0,27.094,85.458,0,0,0,0,0,0,0,0,False,0.2,0.2,False,False,68.76,68.76,False,False,1.0,1.0,False,False,27.094,27.094,False,False,85.458,85.458,False,False,False,False,False,False,0,False,
35,0.0,58.49,0.0,23.821,74.113,0,0,0,0,0,0,0,0,False,0.0,0.0,False,False,58.49,58.49,False,False,0.0,0.0,False,False,23.821,23.821,False,False,74.113,74.113,False,False,False,False,False,False,0,False,
36,0.0,80.3,,31.997,95.156,0,0,1,0,0,0,0,0,False,0.0,0.0,False,False,80.3,80.3,False,True,1.0,1.0,True,False,31.997,31.997,False,False,95.156,95.156,False,False,False,False,False,False,0,False,
37,0.0,85.02,2.0,38.319,106.775,0,0,0,0,0,0,0,0,False,0.0,0.0,False,False,85.02,85.02,False,False,2.0,2.0,False,False,38.319,38.319,False,False,106.775,106.775,False,False,False,False,False,False,0,False,
38,2.7,57.67,0.0,23.952,76.418,0,0,0,0,0,0,0,0,False,2.7,2.7,False,False,57.67,57.67,False,False,0.0,0.0,False,False,23.952,23.952,False,False,76.418,76.418,False,False,False,False,False,False,0,False,
39,0.0,78.94,1.0,,96.243,0,0,0,1,0,0,0,0,False,0.0,0.0,False,False,78.94,78.94,False,False,1.0,1.0,False,True,24.65628093896151,24.65628093896151,True,False,96.243,96.243,False,False,False,False,False,False,0,False,
40,0.0,63.32,3.0,26.622,79.87,0,0,0,0,0,0,0,0,False,0.0,0.0,False,False,63.32,63.32,False,False,3.0,3.0,False,False,26.622,26.622,False,False,79.87,79.87,False,False,False,False,False,False,0,False,
41,,86.52,1.0,35.377,102.151,1,0,0,0,0,0,0,0,True,0.0,0.0,True,False,86.52,86.52,False,False,1.0,1.0,False,False,35.377,35.377,False,False,102.151,102.151,False,False,False,False,False,False,0,False,
42,0.0,,1.0,30.867,92.9,0,1,0,0,0,0,0,0,False,0.0,0.0,False,True,71.85,71.85,True,False,1.0,1.0,False,False,30.867,30.867,False,False,92.9,92.9,False,False,False,False,False,False,0,False,
43,0.3,57.18,3.0,26.928,85.39,0,0,0,0,0,0,0,0,False,0.3,0.3,False,False,57.18,57.18,False,False,3.0,3.0,False,False,26.928,26.928,False,False,85.39,85.39,False,False,False,False,False,False,0,False,
