编号,e_建模值,交叉验证预测值_mm,共同异常
1,89.95,88.15678761519497,False
2,101.833,101.423765425943,False
3,96.002,97.74034446855754,False
4,104.74,104.87632886336955,False
5,103.566,103.73403858017164,False
6,102.164,101.44028786426102,False
7,79.168,79.74386170232759,False
8,96.567,94.12282461038238,False
9,105.691,104.93224171092908,False
10,134.748,133.8427127908742,False
11,101.321,101.5602844905217,False
12,92.088,91.36789883317735,False
13,108.602,107.37226165493577,False
14,113.179,112.18617089793675,False
15,90.481,88.95270631109582,False
16,118.606,118.12401444920262,False
17,95.066,102.53089545840342,False
18,105.283,103.86311835574904,False
19,94.563,91.09102638775535,False
20,93.167,97.59386173742658,False
21,125.842,124.70162407471304,False
22,82.872,86.42831733828211,False
23,104.87,104.41917601903923,False
24,105.178,102.42417331817992,False
25,82.468,83.71465259136087,False
26,103.703,103.7679867094555,False
27,97.377,99.12052506695866,False
28,97.084,96.62755858993279,False
29,74.226,78.71068927940577,False
30,119.393,117.97506750197134,False
31,89.231,90.8864450899498,False
32,93.12,95.37156752602495,False
33,102.376,105.4073933958213,False
34,85.458,84.43530729583313,False
35,74.113,73.37828131730386,False
36,95.156,94.9290037147996,False
37,106.775,105.55612428046936,False
38,76.418,76.73583601459434,False
39,96.243,87.38101370540467,False
40,79.87,85.22701850547045,False
41,102.151,101.41645015777281,False
42,92.9,89.32987519719927,False
43,85.39,82.61362198042897,False
44,102.548,103.97693460190595,False
45,113.124,109.35435893175313,False
46,125.368,121.6130631970743,False
47,108.756,106.79562378267028,False
48,99.673,96.99805410080799,False
49,113.267,115.35637907919363,False
50,74.618,78.60792577007166,False
51,104.192,102.98607436238865,False
52,88.236,87.93170135021535,False
53,87.753,86.49733621337742,False
54,100.342,99.67885931352986,False
55,135.493,119.2369458150264,False
56,90.213,91.04619298313999,False
57,111.368,90.56544884716334,False
58,78.022,77.10399489768109,False
59,94.553,96.21663063687917,False
60,72.375,73.25063405955706,False
61,74.792,75.91899519598547,False
62,102.768,101.76093358725629,False
63,101.487,102.7105180233468,False
64,105.536,110.73652755748812,False
65,138.645,136.5953966890525,False
66,90.472,93.26034183308029,False
67,100.771,98.5976824895541,False
68,88.784,91.51629544241274,False
69,92.181,93.15830776363813,False
70,107.088,104.81711284828963,False
71,93.483,95.07963468929074,False
72,84.719,83.37934434261761,False
73,91.918,92.3923461852859,False
74,106.955,105.3609566065971,False
75,93.822,95.39548061621414,False
76,86.162,87.26759916252269,False
77,110.207,107.1341922085319,False
78,99.81,105.14781914694268,False
79,106.589,105.77172484756866,False
81,87.871,86.6807167969423,False
82,128.71,126.66284931233517,False
83,100.096,99.77269092731487,False
84,96.942,98.95639376615657,False
85,114.309,111.52270942530599,False
86,97.288,96.31785052511175,False
87,104.09,104.93113597613106,False
89,87.737,87.00438863751246,False
90,115.065,112.88824781733479,False
91,94.663,95.00634646641998,False
92,84.949,85.5305129162162,False
93,85.816,84.35166415226546,False
94,114.339,113.4572078116752,False
95,88.775,91.75327139569575,False
96,95.711,97.24799714667516,False
97,84.193,82.80128584068169,False
99,93.584,93.7912248901832,False
100,106.317,106.60786076051312,False
101,93.795,92.80986199678209,False
102,73.315,73.38506461423799,False
