编号,表面位移估计值_mm
1,80.88023702642263
2,86.2242145755987
3,84.30748333227356
4,86.19358461895698
5,80.14723042677981
6,79.01231184872279
7,80.40720751958973
8,80.41586674172808
9,78.80487624474306
10,79.22824866603415
11,117.00096760420611
12,88.08206085600338
13,88.77825956111349
14,87.70821954257966
15,89.25795700540816
16,80.70565238856722
17,102.08208333157384
18,102.35492069027184
19,90.68217246161471
20,91.96132524050388
21,99.05481632981709
22,87.50712566147297
23,92.36631964435466
24,94.25122723779685
25,85.21655985006173
26,95.51137752011067
27,99.63894083181583
28,85.60323082560444
29,85.88733207536794
30,92.52284599160049
31,85.10230238901275
32,92.61175861387048
33,87.4772164520846
34,88.176185825511
35,88.62153246899834
36,85.91243768406491
37,85.60151811768684
38,79.83338352719295
39,84.6828222333021
40,96.84075317526387
41,111.12011927760004
42,89.94163252046272
43,102.610851343658
44,91.10398740841013
45,88.38911870608199
46,86.64461646626154
47,87.8079452782391
48,88.5617470417884
49,122.95827735662594
50,96.28291196548032
51,94.36885421809455
52,90.25189802536758
53,97.29610587734668
54,96.04083427053031
55,90.89468439880987
56,86.14231418757396
57,109.56001525219568
58,99.78597294382853
59,92.91496511949228
60,93.27802417494553
61,90.46499519383991
62,96.21766664174095
63,100.23866127517167
64,104.47817773935142
65,95.25227738215261
66,107.11392193841407
67,103.66531287444003
68,98.20446995924485
69,100.23403320784784
70,93.5345509850163
71,93.78592244239424
72,102.17714278089173
73,92.32051002730236
74,94.04880011071383
75,94.1059392689996
76,91.35334159546832
77,129.30440054642628
78,101.4217351667398
79,134.4407400786175
80,113.83719892506191
81,100.57951968084278
82,99.89971750720862
83,105.90952856443462
84,105.05527064610355
85,108.68691031210143
86,116.98907945952979
87,105.00594402207214
88,101.68291051951465
89,103.32741645470327
90,104.1973226447187
91,100.14448803288613
92,96.88904350611959
93,104.75044714193224
94,102.01714313626064
95,105.6308360449243
96,100.76310938903664
97,103.72605454126733
98,99.40383687750357
99,98.72183998838744
100,96.29547075280108
101,98.37596616926292
