候选模型,折号,验证起始编号,验证终止编号,模型,样本数,RMSE_mm,MAE_mm,Bias_mm,R2
普通线性回归,1,1,2008,fold_1,1889,4.411718551887046,2.291527725769547,-0.04164120512761927,0.8928856047172674
普通线性回归,2,2009,3987,fold_2,1888,3.7743905058176894,2.259285449250964,0.018968213526944055,0.929795248565148
普通线性回归,3,3988,5999,fold_3,1888,3.8586459245151605,2.2363894746873934,-0.04143339887202994,0.9244159086716102
普通线性回归,4,6000,7998,fold_4,1888,4.299567050933888,2.312845794447626,-0.07737565373096304,0.910761473073444
普通线性回归,5,7999,10000,fold_5,1888,4.396012883310939,2.432970110579839,0.14710547494972084,0.9005332456051399
岭回归,1,1,2008,fold_1,1889,4.40943313650409,2.292941564819247,-0.04128775466658904,0.89299655353523
岭回归,2,2009,3987,fold_2,1888,3.778991071611041,2.2667173206084836,0.020343742617593093,0.929624000562618
岭回归,3,3988,5999,fold_3,1888,3.859214320617517,2.2400014197834817,-0.042320602110122556,0.9243936392703855
岭回归,4,6000,7998,fold_4,1888,4.29828329473586,2.3156972853177074,-0.07766876588375163,0.910814754442504
岭回归,5,7999,10000,fold_5,1888,4.395622773824912,2.435124945753158,0.14674495741312257,0.9005508985118742
Huber稳健回归,1,1,2008,fold_1,1889,4.569190423679585,2.26271971467724,0.016430073791386637,0.8851024524380375
Huber稳健回归,2,2009,3987,fold_2,1888,3.680769829832635,2.1110610942172907,0.09583227615804564,0.933234798386689
Huber稳健回归,3,3988,5999,fold_3,1888,3.912127480845284,2.1474116748783807,0.07185545144562186,0.922306169236672
Huber稳健回归,4,6000,7998,fold_4,1888,4.438456256047883,2.27159753243648,0.040989496537715234,0.9049029973893274
Huber稳健回归,5,7999,10000,fold_5,1888,4.360690908847177,2.319649673558519,0.20143849110888784,0.902125255144132
随机森林辅助对照,1,1,2008,fold_1,1889,4.260891781040646,2.548128748815222,-0.09332203000213306,0.9000844113780991
随机森林辅助对照,2,2009,3987,fold_2,1888,3.946934685634691,2.4921448351727813,-0.015277474539266785,0.9232297909519901
随机森林辅助对照,3,3988,5999,fold_3,1888,3.968401548281322,2.5758753596292303,-0.05725394704970298,0.9200549166827752
随机森林辅助对照,4,6000,7998,fold_4,1888,4.235524394707711,2.5692384876907988,-0.09919983658569465,0.9134001149793983
随机森林辅助对照,5,7999,10000,fold_5,1888,4.742448791843263,2.7640431774423315,0.0722162635172046,0.8842381831347531
