变量,滞后步数,滞后时间_min,Spearman_abs,同编号Spearman_abs
a,1,10,0.0007630657060059989,0.29629411242952913
a,3,30,0.000686216190224546,0.29629411242952913
a,6,60,0.002244860760017185,0.29629411242952913
a,12,120,0.004950327218248229,0.29629411242952913
a,24,240,0.001743725764239296,0.29629411242952913
b,1,10,0.025040134025908423,0.826405899386709
b,3,30,0.0012154460690212367,0.826405899386709
b,6,60,0.006895531687032602,0.826405899386709
b,12,120,0.032486890932672007,0.826405899386709
b,24,240,0.012323645886964342,0.826405899386709
