时间,表面位移_mm,降雨量_mm,孔隙水压力_kPa,微震事件数,爆破点距离_m,单段最大药量_kg,时间解析,是否爆破,爆破字段冲突标记,原始增量_表面位移_mm,原始速度_表面位移_mm_mm_h,原始加速度_表面位移_mm_mm_h2,突变候选标记_表面位移_mm,突变候选标记_孔隙水压力_kPa,阶段标签,稳健趋势位移_mm,滚动72点速度_mm_h,滚动72点加速度_mm_h2,阶段内序号,阶段内相对进程,阶段进程步长,阶段内时间_h,爆破距离_建模,单段最大药量_建模,爆破强度,爆破强度_1h衰减,降雨量_1h累计,降雨量_6h累计,微震事件数_1h累计,微震事件数_6h累计,阶段进程平方,位移增量_mm,阶段归一化位移斜率_mm,阶段内相对进程_模型输入,阶段进程平方_模型输入,降雨量_mm_模型输入,降雨量_1h累计_模型输入,降雨量_6h累计_模型输入,孔隙水压力_kPa_模型输入,微震事件数_模型输入,微震事件数_1h累计_模型输入,微震事件数_6h累计_模型输入,是否爆破_模型输入,爆破强度_模型输入,爆破强度_1h衰减_模型输入,阶段趋势位移_mm,阶段趋势增量_mm,阶段归一化残差斜率_mm,岭回归预测增量_mm,岭回归累加拟合位移_mm
2023-05-01 16:40,0.372,0.0,34.6,0,,,2023-05-01 16:40:00,0,0,,,,0,0,1,0.411,,,0,0.0,0.00015595757953836556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,34.6,0,0.0,0.0,0,0.0,0.0,0.062016216913230546,,,,0.372
2023-05-01 16:50,0.369,0.0,34.37,1,,,2023-05-01 16:50:00,0,0,-0.003000000000000003,-0.01800000000000002,,0,0,1,0.4155,,,1,0.00015595757953836556,0.00015595757953836556,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.432276661546562e-08,-0.0030000000000000027,-19.23600000000002,0.00015595757953836556,2.432276661546562e-08,0.0,0.0,0.0,34.37,1,1.0,1.0,0,0.0,0.0,0.06428021693312033,0.0022640000198897864,-33.75276812753333,-0.002555582073697239,0.3694444179263028
2023-05-01 17:00,0.456,0.0,34.19,0,,,2023-05-01 17:00:00,0,0,0.08700000000000002,0.5220000000000001,3.240000000000001,0,0,1,0.42,,,2,0.00031191515907673113,0.00015595757953836556,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.729106646186248e-08,0.08700000000000002,557.8440000000002,0.00031191515907673113,9.729106646186248e-08,0.0,0.0,0.0,34.19,0,1.0,1.0,0,0.0,0.0,0.0665442169530101,0.0022640000198897725,543.3272318724669,-0.0020541172471660665,0.3673903006791367
2023-05-01 17:10,0.407,0.0,33.93,0,,,2023-05-01 17:10:00,0,0,-0.04900000000000004,-0.2940000000000003,-4.896000000000003,0,0,1,0.4205,,,3,0.0004678727386150967,0.00015595757953836556,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.189048995391906e-07,-0.049000000000000044,-314.1880000000003,0.0004678727386150967,2.189048995391906e-07,0.0,0.0,0.0,33.93,0,1.0,1.0,0,0.0,0.0,0.06880821697289989,0.0022640000198897864,-328.7047681275336,-0.0020536003220478502,0.3653367003570888
2023-05-01 17:20,0.232,0.0,33.78,0,,,2023-05-01 17:20:00,0,0,-0.175,-1.05,-4.535999999999998,0,0,1,0.42,,,4,0.0006238303181534623,0.00015595757953836556,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.8916426584744994e-07,-0.17499999999999996,-1122.0999999999997,0.0006238303181534623,3.8916426584744994e-07,0.0,0.0,0.0,33.78,0,1.0,1.0,0,0.0,0.0,0.07107221699278966,0.0022640000198897725,-1136.616768127533,-0.0020531524471267323,0.3632835479099621
2023-05-01 17:30,0.495,0.0,33.61,0,,,2023-05-01 17:30:00,0,0,0.263,1.578,15.768,0,0,1,0.4205,,,5,0.0007797878976918279,0.00015595757953836556,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.080691653866406e-07,0.263,1686.356,0.0007797878976918279,6.080691653866406e-07,0.0,0.0,0.0,33.61,0,1.0,1.0,0,0.0,0.0,0.07333621701267945,0.0022640000198897864,1671.8392318724666,-0.002052691737787559,0.36123085617217454
2023-05-01 17:40,0.758,0.0,33.35,0,,,2023-05-01 17:40:00,0,0,0.263,1.578,0.0,0,0,1,0.421,,,6,0.0009357454772301934,0.00015595757953836556,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.756195981567624e-07,0.263,1686.356,0.0009357454772301934,8.756195981567624e-07,0.0,0.0,0.0,33.35,0,1.0,1.0,0,0.0,0.0,0.07560021703256922,0.0022640000198897725,1671.8392318724666,-0.002052174102314565,0.35917868206986
2023-05-01 17:50,0.423,0.0,33.17,0,,,2023-05-01 17:50:00,0,0,-0.335,-2.01,-21.528,0,0,1,0.422,,,7,0.001091703056768559,0.00015595757953836556,1.1666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1918155641578153e-06,-0.335,-2148.02,0.001091703056768559,1.1918155641578153e-06,0.0,0.0,0.0,33.17,0,0.0,1.0,0,0.0,0.0,0.07786421705245901,0.0022640000198897864,-2162.5367681275334,-0.002155096725839677,0.3570235853440203
2023-05-01 18:00,0.323,0.0,33.16,0,,,2023-05-01 18:00:00,0,0,-0.09999999999999998,-0.5999999999999999,8.460000000000003,0,0,1,0.423,,,8,0.0012476606363069245,0.00015595757953836556,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5566570633897997e-06,-0.09999999999999998,-641.1999999999998,0.0012476606363069245,1.5566570633897997e-06,0.0,0.0,0.0,33.16,0,0.0,1.0,0,0.0,0.0,0.0801282170723488,0.0022640000198897864,-655.7167681275332,-0.0021547360872104446,0.35486884925680984
2023-05-01 18:10,0.393,0.0,33.36,0,,,2023-05-01 18:10:00,0,0,0.07,0.42,6.12,0,0,1,0.422,,,9,0.0014036182158452901,0.00015595757953836556,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.9701440958527157e-06,0.07,448.84000000000003,0.0014036182158452901,1.9701440958527157e-06,0.0,0.0,0.0,33.36,0,0.0,1.0,0,0.0,0.0,0.08239221709223857,0.0022640000198897725,434.3232318724668,-0.0021545074869437518,0.3527143417698661
