阶段编号,因素类别,系数绝对值合计,归一化贡献度
1,阶段演化,13.49102735903216,0.00508768273023121
1,降雨,25.593228878702202,0.009651616968210574
1,孔隙水压力,0.042165000964139665,1.590109793097517e-05
1,微震,5.144735027063071,0.0019401620686270813
1,爆破,2607.43259068134,0.9833046371350003
2,阶段演化,70.06633595864348,0.032019116966952074
2,降雨,76.27647185942746,0.03485704284201478
2,孔隙水压力,116.75422046773708,0.0533546815370558
2,微震,60.32519229046331,0.02756758094418295
2,爆破,1864.8434967750572,0.8522015777097944
3,阶段演化,1972.620993800222,0.5156814080731571
3,降雨,155.4270544282731,0.04063164821430082
3,孔隙水压力,570.5693500839373,0.14915790046816735
3,微震,316.9358217414847,0.08285317419724479
3,爆破,809.7175050841437,0.21167586904712984
