阶段编号,变量,训练集下界,训练集上界,实验集被截尾数量
1,阶段内相对进程,0.0,1.0,0
1,阶段进程平方,0.0,1.0,0
1,降雨量_mm,0.0,32.5,0
1,降雨量_1h累计,0.0,32.5,0
1,降雨量_6h累计,0.0,34.1,0
1,孔隙水压力_kPa,7.6,59.78,0
1,微震事件数,0.0,7.0,0
1,微震事件数_1h累计,0.0,11.0,2
1,微震事件数_6h累计,0.0,33.0,3
1,是否爆破,0.0,1.0,0
1,爆破强度,0.0,35.746173469387756,0
1,爆破强度_1h衰减,0.0,35.746173469387756,0
2,阶段内相对进程,0.0,1.0,0
2,阶段进程平方,0.0,1.0,0
2,降雨量_mm,0.0,17.9,0
2,降雨量_1h累计,0.0,22.2,0
2,降雨量_6h累计,0.0,36.4,0
2,孔隙水压力_kPa,11.76,48.11,1
2,微震事件数,0.0,7.0,0
2,微震事件数_1h累计,0.0,19.0,0
2,微震事件数_6h累计,15.0,76.0,0
2,是否爆破,0.0,1.0,0
2,爆破强度,0.0,7.67601158110303,1
2,爆破强度_1h衰减,0.0,7.67601158110303,3
3,阶段内相对进程,0.0,1.0,0
3,阶段进程平方,0.0,1.0,0
3,降雨量_mm,0.0,21.3,0
3,降雨量_1h累计,0.0,28.200000000000003,0
3,降雨量_6h累计,0.0,28.200000000000003,0
3,孔隙水压力_kPa,23.46,43.84,459
3,微震事件数,0.0,12.0,0
3,微震事件数_1h累计,3.0,36.0,2
3,微震事件数_6h累计,39.0,167.0,9
3,是否爆破,0.0,1.0,0
3,爆破强度,0.0,1.296296296296296,0
3,爆破强度_1h衰减,0.0,1.296296296296296,0
