阶段编号,变量,标准化系数
1,阶段内相对进程_模型输入,4.184410394918956
1,阶段进程平方_模型输入,9.306616964113203
1,降雨量_mm_模型输入,11.028822305433206
1,降雨量_1h累计_模型输入,8.216958024585914
1,降雨量_6h累计_模型输入,-6.347448548683083
1,孔隙水压力_kPa_模型输入,-0.042165000964139665
1,微震事件数_模型输入,-2.4000213595954563
1,微震事件数_1h累计_模型输入,1.2112134679541882
1,微震事件数_6h累计_模型输入,-1.5335001995134263
1,是否爆破_模型输入,513.174327400129
1,爆破强度_模型输入,1314.7548127856694
1,爆破强度_1h衰减_模型输入,-779.5034504955419
2,阶段内相对进程_模型输入,64.23940120697084
2,阶段进程平方_模型输入,-5.826934751672636
2,降雨量_mm_模型输入,-23.966161341580353
2,降雨量_1h累计_模型输入,-10.422276937060571
2,降雨量_6h累计_模型输入,41.88803358078654
2,孔隙水压力_kPa_模型输入,116.75422046773708
2,微震事件数_模型输入,28.41587279533837
2,微震事件数_1h累计_模型输入,1.2905411873281012
2,微震事件数_6h累计_模型输入,-30.61877830779684
2,是否爆破_模型输入,185.9798705782128
2,爆破强度_模型输入,1020.1854797711029
2,爆破强度_1h衰减_模型输入,-658.6781464257414
3,阶段内相对进程_模型输入,1126.6554922965224
3,阶段进程平方_模型输入,-845.9655015036997
3,降雨量_mm_模型输入,-87.95880019947526
3,降雨量_1h累计_模型输入,32.0298052597268
3,降雨量_6h累计_模型输入,35.43844896907103
3,孔隙水压力_kPa_模型输入,570.5693500839373
3,微震事件数_模型输入,-50.094165128300574
3,微震事件数_1h累计_模型输入,198.68409305716796
3,微震事件数_6h累计_模型输入,-68.15756355601616
3,是否爆破_模型输入,111.3866440068955
3,爆破强度_模型输入,414.8730893396977
3,爆破强度_1h衰减_模型输入,-283.4577717375505
