阶段编号,折号,验证样本数,RMSE_delta_mm,MAE_delta_mm,Bias_delta_mm,R2
1,1,1283,0.2635918018944457,0.18520936276000385,-0.0008403517583399237,0.18306539493684715
1,2,1283,0.48981897435669064,0.2138493826385093,-0.007808150835360146,-0.011033654999776488
1,3,1282,0.2988358838200348,0.19444917299207132,0.0005989174959316588,0.2566591338591413
1,4,1282,0.2688528089900703,0.18373441199494853,-0.0014803743769673933,0.20705190499716275
1,5,1282,0.38211252372343457,0.1946463062061005,0.0006957555733808281,0.23671289329923806
2,1,488,0.3851293779096441,0.2320393783923671,0.11687632895769338,0.4707713111437549
2,2,488,0.2841043556421851,0.19351695330800306,-0.03763490445074254,0.18153159184247736
2,3,487,0.29087424820641417,0.1877857675249411,-0.02798596632712937,0.21721036000133231
2,4,487,0.23790872955996456,0.18046661271276643,0.06716356409174008,-0.09564622208429996
2,5,487,0.6395554649531711,0.28757263598110006,-0.12038027924120491,0.3340542004450482
3,1,230,0.43177200686754413,0.3515383745668954,0.25997464173142876,-0.4635723268527179
3,2,230,0.38286138643819584,0.28095501277853907,-0.07213410971173262,0.4542267210518005
3,3,230,0.369907015783928,0.2993863776713224,0.10244232821209331,0.5984584317423418
3,4,229,1.0200281299154894,0.5101949758791698,-0.11080896368692471,0.16871279706215347
3,5,229,0.4632109914533716,0.3868584491646373,0.15705369858582152,0.3069771472977544
