阶段编号,模型,样本数,RMSE_delta_mm,MAE_delta_mm,Bias_delta_mm,R2
1,线性回归,6412,0.3114318692281199,0.19237434194844577,-9.696270957424947e-19,0.33109479376402506
1,岭回归,6412,0.31358685827328,0.1918837339233937,-1.8699951132176686e-18,0.32180563108921056
1,Huber稳健回归,6412,0.32986751714043777,0.19100083264354772,0.0040387699161939265,0.24955723566698107
1,随机森林辅助对照,6412,0.3578766233515569,0.19406742500427152,-0.000482477891078192,0.11670629902215635
2,线性回归,2437,0.3354848512002766,0.19945711049630327,-7.289113005335455e-19,0.5148103731290823
2,岭回归,2437,0.3354848512005321,0.1994570994122557,-2.1867339016006365e-18,0.5148103731283431
2,Huber稳健回归,2437,0.3776701074087099,0.19413900117450086,0.011452182730455061,0.3851192426758392
2,随机森林辅助对照,2437,0.4739163258080905,0.20185314594822212,0.00014896033238201924,0.031791216599680094
3,线性回归,1148,0.439000164044533,0.31369936182236957,3.945740366263623e-17,0.5959320674853084
3,岭回归,1148,0.4394279125247131,0.3143955027781646,3.4815356172914314e-17,0.5951442607237234
3,Huber稳健回归,1148,0.4809071038578954,0.3070755119990929,-0.010215275757246671,0.5151053356360276
3,随机森林辅助对照,1148,0.5065525129828238,0.27446334144688106,-0.002088761627087341,0.4620102902946378
