方案,第一节点偏移_点,第二节点偏移_点,第一节点偏移_h,第二节点偏移_h,第一节点时间,第二节点时间,训练集RMSE_mm,训练集MAE_mm,训练集R2,实验集预测最大值_mm,实验集预测均值_mm,表4_1最大绝对变化_mm,2025-05-09 12:00_预测值_mm,2025-05-09 12:00_较基准变化_mm,2025-05-27 08:00_预测值_mm,2025-05-27 08:00_较基准变化_mm,2025-06-01 12:00_预测值_mm,2025-06-01 12:00_较基准变化_mm,2025-06-03 22:00_预测值_mm,2025-06-03 22:00_较基准变化_mm,2025-06-04 01:40_预测值_mm,2025-06-04 01:40_较基准变化_mm
t1+0_t2+0,0,0,0.0,0.0,2023-06-15 05:20:00,2023-07-02 03:40:00,4.293481639102527,2.731851351443247,0.998802576457552,645.1391110402806,31.867348443195205,0.0,0.0,0.0,22.009237261753672,0.0,41.544576093096964,0.0,210.15118076138796,0.0,251.19868503524145,0.0
t1-144_t2+0,-144,0,-24.0,0.0,2023-06-14 05:20:00,2023-07-02 03:40:00,4.274359448265888,2.6328027152723457,0.9988132188096527,648.0671054832427,32.388044182413815,3.3157054086199835,0.0,0.0,20.493006039343566,-1.5162312224101058,44.86028150171695,3.3157054086199835,213.07917520435012,2.9279944429621594,254.1266794782036,2.9279944429621594
t1-72_t2+0,-72,0,-12.0,0.0,2023-06-14 17:20:00,2023-07-02 03:40:00,4.2066674472486785,2.5883866068079375,0.9988505106971444,646.5351650066772,32.65349416420802,1.6548013496820673,0.0,0.0,23.404669283974332,1.3954320222206604,43.19937744277903,1.6548013496820673,211.54723472778457,1.3960539663966074,252.59473900163806,1.3960539663966074
t1+72_t2+0,72,0,12.0,0.0,2023-06-15 17:20:00,2023-07-02 03:40:00,4.2392659975179745,2.7302310690536697,0.9988326262914162,644.0343065261942,32.12033903307696,2.4768984362598836,0.0,0.0,24.486135698013555,2.4768984362598836,40.33383656555936,-1.210739527537605,209.04637624730162,-1.1048045140863394,250.0938805211551,-1.1048045140863394
t1+144_t2+0,144,0,24.0,0.0,2023-06-16 05:20:00,2023-07-02 03:40:00,4.217402685667911,2.8486315318285413,0.9988446363143865,643.4380934889158,32.44241959603144,5.160357133311919,0.0,0.0,27.16959439506559,5.160357133311919,39.48763995221739,-2.0569361408795714,208.45016321002316,-1.7010175513647994,249.49766748387665,-1.7010175513647994
t1+0_t2-144,0,-144,0.0,-24.0,2023-06-15 05:20:00,2023-07-01 03:40:00,10.53843910203303,4.290797233489335,0.9927859166958575,679.2371003235294,38.994907704396034,68.86416089675899,0.0,0.0,35.97085124635449,13.96161398460082,35.035638746020204,-6.50893734707676,279.01534165814695,68.86416089675899,311.88008708538604,60.681402050144584
t1+0_t2-72,0,-72,0.0,-12.0,2023-06-15 05:20:00,2023-07-01 15:40:00,3.01369623858259,1.8232414935183905,0.9994100332652518,662.1893790753425,35.02782373120799,38.07314574192969,0.0,0.0,44.833237507041204,22.824000245287532,40.364471921549544,-1.1801041715474199,172.07803501945827,-38.07314574192969,217.0317903118815,-34.166894723359945
t1+0_t2+72,0,72,0.0,12.0,2023-06-15 05:20:00,2023-07-02 15:40:00,4.721946880019158,2.9473785352919,0.9985516591940029,626.1000486625529,33.80974906530448,32.36312542614027,0.0,0.0,20.907257847612545,-1.1019794141411268,47.76855127410387,6.223975181006907,242.51430618752823,32.36312542614027,278.8014586433287,27.60277360808726
t1+0_t2+144,0,144,0.0,24.0,2023-06-15 05:20:00,2023-07-03 03:40:00,5.034372427862789,3.1524473061646727,0.9983536610505095,602.2147972335846,36.36411766323922,61.47928191545,0.0,0.0,20.55040051981523,-1.4588367419384412,55.162703192459674,13.61812709936271,271.63046267683796,61.47928191545,302.6191168073076,51.42043177206614
t1-72_t2-72,-72,-72,-12.0,-12.0,2023-06-14 17:20:00,2023-07-01 15:40:00,2.907729744899037,1.7062572471019846,0.9994507922578891,663.7698397072932,35.7198473416169,36.49268510997905,0.0,0.0,46.08473879199293,24.07550153023926,42.178528360723504,0.6339522676265403,173.6584956514089,-36.49268510997905,218.61225094383215,-32.5864340914093
t1+72_t2+72,72,72,12.0,12.0,2023-06-15 17:20:00,2023-07-02 15:40:00,4.615922694830278,2.913187848418762,0.9986159696101331,625.2335603312728,34.09520889567219,31.49663709486012,0.0,0.0,23.46707267978719,1.4578354180335182,46.72372567947385,5.179149586376887,241.64781785624808,31.49663709486012,277.93497031204856,26.73628527680711
