时间,表面位移_mm,降雨量_mm,孔隙水压力_kPa,微震事件数,干湿入渗系数,爆破点距离_m,单段最大药量_kg,是否爆破,爆破点距离_m_建模,单段最大药量_kg_建模,稳健趋势位移_mm,平滑速度_mm_h,阶段标签,阶段内序号,阶段内相对进程,最优组合拟合位移_mm,最优组合残差_mm,预警等级编码,预警等级
2024-01-01 16:40:00,0.415,0.0,30.48,2,0.5273,,,0,0.0,0.0,0.753,,1,0,0.0,-90.81150698028091,91.22650698028092,0,正常
2024-01-01 16:50:00,0.669,0.0,30.0,0,0.491,,,0,0.0,0.0,0.762,0.05400000000000005,1,1,0.00021422450728363326,-89.98505117693662,90.65405117693662,0,正常
2024-01-01 17:00:00,0.588,0.0,30.14,0,0.5612,,,0,0.0,0.0,0.771,0.05400000000000005,1,2,0.0004284490145672665,-90.00935983036379,90.59735983036379,0,正常
2024-01-01 17:10:00,0.551,0.0,29.92,1,0.594,,,0,0.0,0.0,0.7735000000000001,0.015000000000000346,1,3,0.0006426735218508997,-91.47664142121653,92.02764142121653,0,正常
2024-01-01 17:20:00,0.222,0.0,30.3,0,0.4289,,,0,0.0,0.0,0.776,0.01499999999999968,1,4,0.000856898029134533,-91.25355487302363,91.47555487302363,0,正常
2024-01-01 17:30:00,2.118,0.0,30.0,0,0.4395,,,0,0.0,0.0,0.7805,0.02699999999999969,1,5,0.0010711225364181663,-90.81811155888522,92.93611155888522,0,正常
2024-01-01 17:40:00,0.546,0.0,30.13,1,0.5189,,,0,0.0,0.0,0.785,0.027000000000000357,1,6,0.0012853470437017994,-89.42263003740663,89.96863003740664,0,正常
2024-01-01 17:50:00,0.753,0.0,30.34,0,0.6169,,,0,0.0,0.0,0.7955000000000001,0.06300000000000039,1,7,0.0014995715509854327,-89.61984815204369,90.37284815204369,0,正常
2024-01-01 18:00:00,0.266,4.3,34.1,0,0.4245,,,0,0.0,0.0,0.785,-0.06300000000000039,1,8,0.001713796058269066,-96.27945674311172,96.54545674311173,0,正常
2024-01-01 18:10:00,0.612,0.0,34.15,2,0.473,,,0,0.0,0.0,0.7955000000000001,0.06300000000000039,1,9,0.0019280205655526992,-98.37590799625968,98.98790799625968,0,正常
2024-01-01 18:20:00,0.323,0.0,34.04,0,0.421,,,0,0.0,0.0,0.806,0.06299999999999972,1,10,0.0021422450728363325,-96.34656116065503,96.66956116065502,0,正常
2024-01-01 18:30:00,0.697,0.0,34.14,1,0.6348,,,0,0.0,0.0,0.807,0.006000000000000005,1,11,0.002356469580119966,-97.76766817121074,98.46466817121075,0,正常
2024-01-01 18:40:00,0.464,0.0,34.09,0,0.456,,,0,0.0,0.0,0.808,0.006000000000000005,1,12,0.002570694087403599,-95.19468931152414,95.65868931152414,0,正常
2024-01-01 18:50:00,0.776,0.0,34.09,1,0.5675,,,0,0.0,0.0,0.8109999999999999,0.01799999999999935,1,13,0.002784918594687232,-96.1619401703249,96.9379401703249,0,正常
2024-01-01 19:00:00,0.982,0.0,34.24,1,0.4423,,,0,0.0,0.0,0.814,0.018000000000000016,1,14,0.0029991431019708655,-100.74965778824298,101.73165778824298,0,正常
2024-01-01 19:10:00,0.0,0.0,34.24,0,0.4651,,,0,0.0,0.0,0.817,0.018000000000000016,1,15,0.003213367609254499,-97.09002571420524,97.09002571420524,0,正常
2024-01-01 19:20:00,0.366,0.0,33.8,0,0.578,,,0,0.0,0.0,0.82,0.018000000000000016,1,16,0.003427592116538132,-95.95530587254416,96.32130587254416,0,正常
2024-01-01 19:30:00,0.814,0.0,33.73,0,0.5699,,,0,0.0,0.0,0.82,0.0,1,17,0.003641816623821765,-93.97914180437783,94.79314180437783,0,正常
2024-01-01 19:40:00,0.845,0.0,33.52,1,0.5043,,,0,0.0,0.0,0.82,0.0,1,18,0.0038560411311053984,-95.02070287849801,95.86570287849801,0,正常
2024-01-01 19:50:00,0.771,0.0,33.69,0,0.5167,,,0,0.0,0.0,0.822,0.01200000000000001,1,19,0.004070265638389032,-93.26937119901504,94.04037119901504,0,正常
2024-01-01 20:00:00,0.685,0.0,33.32,0,0.5238,,,0,0.0,0.0,0.82,-0.01200000000000001,1,20,0.004284490145672665,-90.78872183199383,91.47372183199383,0,正常
