时间,阶段标签,平滑速度_mm_h,预警等级编码,预警等级
2024-01-01 16:40:00,1,0.0,0,正常
2024-01-01 16:50:00,1,0.05400000000000005,0,正常
2024-01-01 17:00:00,1,0.05400000000000005,0,正常
2024-01-01 17:10:00,1,0.015000000000000346,0,正常
2024-01-01 17:20:00,1,0.01499999999999968,0,正常
2024-01-01 17:30:00,1,0.02699999999999969,0,正常
2024-01-01 17:40:00,1,0.027000000000000357,0,正常
2024-01-01 17:50:00,1,0.06300000000000039,0,正常
2024-01-01 18:00:00,1,-0.06300000000000039,0,正常
2024-01-01 18:10:00,1,0.06300000000000039,0,正常
2024-01-01 18:20:00,1,0.06299999999999972,0,正常
2024-01-01 18:30:00,1,0.006000000000000005,0,正常
2024-01-01 18:40:00,1,0.006000000000000005,0,正常
2024-01-01 18:50:00,1,0.01799999999999935,0,正常
2024-01-01 19:00:00,1,0.018000000000000016,0,正常
2024-01-01 19:10:00,1,0.018000000000000016,0,正常
2024-01-01 19:20:00,1,0.018000000000000016,0,正常
2024-01-01 19:30:00,1,0.0,0,正常
2024-01-01 19:40:00,1,0.0,0,正常
2024-01-01 19:50:00,1,0.01200000000000001,0,正常
2024-01-01 20:00:00,1,-0.01200000000000001,0,正常
2024-01-01 20:10:00,1,0.01200000000000001,0,正常
2024-01-01 20:20:00,1,0.01200000000000001,0,正常
2024-01-01 20:30:00,1,0.06300000000000039,0,正常
2024-01-01 20:40:00,1,0.06299999999999972,0,正常
2024-01-01 20:50:00,1,0.01200000000000001,0,正常
2024-01-01 21:00:00,1,0.01200000000000001,0,正常
2024-01-01 21:10:00,1,0.13800000000000012,0,正常
2024-01-01 21:20:00,1,0.13800000000000012,0,正常
2024-01-01 21:30:00,1,0.006000000000000005,0,正常
2024-01-01 21:40:00,1,0.006000000000000005,0,正常
2024-01-01 21:50:00,1,0.05099999999999971,0,正常
2024-01-01 22:00:00,1,0.05100000000000038,0,正常
2024-01-01 22:10:00,1,0.020999999999999686,0,正常
2024-01-01 22:20:00,1,0.02100000000000035,0,正常
2024-01-01 22:30:00,1,0.01499999999999968,0,正常
2024-01-01 22:40:00,1,-0.01499999999999968,0,正常
2024-01-01 22:50:00,1,0.01499999999999968,0,正常
2024-01-01 23:00:00,1,0.015000000000000346,0,正常
2024-01-01 23:10:00,1,0.018000000000000016,0,正常
2024-01-01 23:20:00,1,0.018000000000000016,0,正常
2024-01-01 23:30:00,1,0.047999999999999376,0,正常
2024-01-01 23:40:00,1,0.04800000000000004,0,正常
2024-01-01 23:50:00,1,0.05099999999999971,0,正常
2024-01-02 00:00:00,1,0.05100000000000038,0,正常
2024-01-02 00:10:00,1,0.03900000000000037,0,正常
2024-01-02 00:20:00,1,0.0389999999999997,0,正常
2024-01-02 00:30:00,1,0.01200000000000001,0,正常
2024-01-02 00:40:00,1,0.01200000000000001,0,正常
2024-01-02 00:50:00,1,0.01200000000000001,0,正常
2024-01-02 01:00:00,1,0.01200000000000001,0,正常
2024-01-02 01:10:00,1,0.0,0,正常
2024-01-02 01:20:00,1,0.0,0,正常
2024-01-02 01:30:00,1,0.006000000000000005,0,正常
2024-01-02 01:40:00,1,0.006000000000000005,0,正常
2024-01-02 01:50:00,1,0.030000000000000027,0,正常
2024-01-02 02:00:00,1,0.030000000000000027,0,正常
2024-01-02 02:10:00,1,0.030000000000000693,0,正常
2024-01-02 02:20:00,1,0.02999999999999936,0,正常
2024-01-02 02:30:00,1,0.0420000000000007,0,正常
2024-01-02 02:40:00,1,0.04199999999999937,0,正常
2024-01-02 02:50:00,1,0.01200000000000001,0,正常
2024-01-02 03:00:00,1,0.01799999999999935,0,正常
2024-01-02 03:10:00,1,0.0,0,正常
2024-01-02 03:20:00,1,0.02400000000000002,0,正常
2024-01-02 03:30:00,1,0.06000000000000005,0,正常
2024-01-02 03:40:00,1,0.0,0,正常
2024-01-02 03:50:00,1,0.06000000000000005,0,正常
2024-01-02 04:00:00,1,0.0,0,正常
2024-01-02 04:10:00,1,0.1500000000000008,0,正常
2024-01-02 04:20:00,1,0.01200000000000001,0,正常
2024-01-02 04:30:00,1,0.06599999999999939,0,正常
