特征名称,变量组,标准化系数,系数绝对值,模型截距,Ridge_alpha
阶段1_常数项,阶段趋势,-511.7216792297576,511.7216792297576,1314.042415026455,0.49238826317067413
阶段3_常数项,阶段趋势,421.15004706644515,421.15004706644515,1314.042415026455,0.49238826317067413
阶段2_常数项,阶段趋势,306.8231162475705,306.8231162475705,1314.042415026455,0.49238826317067413
阶段1_进程一次项,阶段趋势,290.21992870738416,290.21992870738416,1314.042415026455,0.49238826317067413
阶段2_进程二次项,阶段趋势,230.43035006188526,230.43035006188526,1314.042415026455,0.49238826317067413
阶段2_进程一次项,阶段趋势,208.95813304379612,208.95813304379612,1314.042415026455,0.49238826317067413
阶段3_进程一次项,阶段趋势,105.03992381151585,105.03992381151585,1314.042415026455,0.49238826317067413
阶段2_进程三次项,阶段趋势,-92.91376844314601,92.91376844314601,1314.042415026455,0.49238826317067413
阶段3_进程二次项,阶段趋势,74.93876227450045,74.93876227450045,1314.042415026455,0.49238826317067413
阶段1_进程二次项,阶段趋势,53.74161682764801,53.74161682764801,1314.042415026455,0.49238826317067413
阶段3_进程三次项,阶段趋势,-36.51806911169763,36.51806911169763,1314.042415026455,0.49238826317067413
微震事件数_1h累计,微震事件数,-27.90616970209355,27.90616970209355,1314.042415026455,0.49238826317067413
孔隙水压力_6h均值,孔隙水压力,23.219811333669533,23.219811333669533,1314.042415026455,0.49238826317067413
单段最大药量_6h衰减,单段最大药量,-12.211392968196673,12.211392968196673,1314.042415026455,0.49238826317067413
爆破距离倒数,爆破点距离,-10.72038176789214,10.72038176789214,1314.042415026455,0.49238826317067413
孔隙水压力_当前,孔隙水压力,-10.66257966101993,10.66257966101993,1314.042415026455,0.49238826317067413
单段最大药量_1h衰减,单段最大药量,9.75222186563059,9.75222186563059,1314.042415026455,0.49238826317067413
爆破距离倒数_6h衰减,爆破点距离,9.068203885860985,9.068203885860985,1314.042415026455,0.49238826317067413
降雨量_6h累计,降雨量,-8.436568592290614,8.436568592290614,1314.042415026455,0.49238826317067413
爆破距离倒数_1h衰减,爆破点距离,-7.693349695722166,7.693349695722166,1314.042415026455,0.49238826317067413
药量距离综合扰动_6h衰减,爆破综合,5.961751602994131,5.961751602994131,1314.042415026455,0.49238826317067413
药量距离综合扰动,爆破综合,5.512141512865759,5.512141512865759,1314.042415026455,0.49238826317067413
药量距离综合扰动_1h衰减,爆破综合,-4.29707330892447,4.29707330892447,1314.042415026455,0.49238826317067413
爆破标记_距离口径,爆破点距离,4.232457300073635,4.232457300073635,1314.042415026455,0.49238826317067413
爆破标记_药量口径,单段最大药量,4.232457300073635,4.232457300073635,1314.042415026455,0.49238826317067413
降雨量_1h累计,降雨量,2.7194358984718345,2.7194358984718345,1314.042415026455,0.49238826317067413
单段最大药量,单段最大药量,-2.060360878151782,2.060360878151782,1314.042415026455,0.49238826317067413
孔隙水压力_1h变化,孔隙水压力,-1.5219290894315165,1.5219290894315165,1314.042415026455,0.49238826317067413
微震事件数_当前,微震事件数,-1.278280622547797,1.278280622547797,1314.042415026455,0.49238826317067413
微震事件数_6h累计,微震事件数,0.4313007039863379,0.4313007039863379,1314.042415026455,0.49238826317067413
降雨量_当前,降雨量,0.12853830302819347,0.12853830302819347,1314.042415026455,0.49238826317067413
